Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
BRITANNIA,BSE:BRITANNIA,52,PURE FIRST BREAK,0,01-10-2024,01-06-2025,8,5877.5,5849.93,0.47,10%,"189,461,212"
PNB,BSE:PNB,52,PURE FIRST BREAK,0,01-04-2024,01-10-2025,4,123.65,118.3,4.52,10%,"359,810,376"
AIAENG,BSE:AIAENG,52,PURE FIRST BREAK,0,01-08-2024,01-12-2025,2,4112.85,3983.3,3.25,10%,"34,313,508"
HINDZINC,BSE:HINDZINC,52,PURE FIRST BREAK,0,01-05-2024,01-12-2025,2,627.69,597.42,5.07,10%,"5,668,114,252"
LUPIN,BSE:LUPIN,52,PURE FIRST BREAK,0,01-01-2025,01-12-2025,2,2194.6,2121.41,3.45,10%,"319,358,206"
SAIL,BSE:SAIL,52,PURE FIRST BREAK,0,01-05-2024,01-12-2025,2,157.2,143.41,9.62,10%,"1,360,666,424"
NTPC,BSE:NTPC,52,PURE FIRST BREAK,0,01-09-2024,01-01-2026,5,361.65,358.54,0.87,10%,"1,598,083,947"
BACPHAR,BSE:BACPHAR,52,PURE FIRST BREAK,0,01-12-2024,01-02-2026,4,49.39,48.81,1.18,10%,"36,601,151"
GAEL,BSE:GAEL,52,PURE FIRST BREAK,0,01-02-2024,01-04-2026,2,155.75,150.6,3.42,10%,"20,490,937"
JSTL,BSE:JSTL,52,PURE FIRST BREAK,0,01-02-2022,01-04-2026,2,77.38,75.42,2.6,10%,"18,969,629"
OFSS,BSE:OFSS,52,PURE FIRST BREAK,0,01-12-2024,01-04-2026,2,9940.5,9198.56,8.07,10%,"1,318,478,098"
SONACOMS,BSE:SONACOMS,52,PURE FIRST BREAK,0,01-09-2024,01-04-2026,2,602.1,560.1,7.5,10%,"1,363,708,277"
