Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
ATUL,BSE:ATUL,52,PURE FIRST BREAK,0,07-07-2025,02-02-2026,17,6672.25,6496.13,2.71,10%,"30,638,972"
AKUMS,BSE:AKUMS,52,PURE FIRST BREAK,0,30-06-2025,30-03-2026,9,553.9,506.22,9.42,10%,"45,875,662"
ACTIVE,BSE:ACTIVE,52,PURE FIRST BREAK,0,07-07-2025,06-04-2026,8,141.3,137.47,2.79,10%,"10,442,777"
BENARAS,BSE:BENARAS,52,PURE FIRST BREAK,0,15-09-2025,13-04-2026,7,10256.5,9918.16,3.41,10%,"25,056,630"
BALRAMCHIN,BSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,6,532.45,516.33,3.12,10%,"399,959,943"
CIANAGRO,BSE:CIANAGRO,52,PURE FIRST BREAK,0,13-10-2025,27-04-2026,5,1520.0,1468.84,3.48,10%,"775,589,120"
ASIANPAINT,BSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,4,2685.15,2585.37,3.86,10%,"882,823,585"
ATALREAL,BSE:ATALREAL,52,PURE FIRST BREAK,0,09-02-2026,04-05-2026,4,30.39,28.65,6.07,10%,"34,517,144"
FORTIS,BSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,4,969.25,943.93,2.68,10%,"430,454,587"
BPLPHARMA,BSE:BPLPHARMA,52,PURE FIRST BREAK,0,28-07-2025,11-05-2026,3,1361.25,1259.17,8.11,10%,"11,634,604"
CAPLIPOINT,BSE:CAPLIPOINT,52,PURE FIRST BREAK,0,15-09-2025,11-05-2026,3,2031.45,1960.27,3.63,10%,"68,642,694"
ASIANENE,BSE:ASIANENE,52,PURE FIRST BREAK,0,01-09-2025,18-05-2026,2,381.05,348.11,9.46,10%,"93,427,741"
FEDFINA,BSE:FEDFINA,52,PURE FIRST BREAK,0,12-01-2026,18-05-2026,2,161.3,155.81,3.52,10%,"44,561,223"
GUJALKALI,BSE:GUJALKALI,156,PURE FIRST BREAK,0,07-10-2024,13-04-2026,7,653.25,647.96,0.82,10%,"23,503,282"
CARBORUNIV,BSE:CARBORUNIV,156,PURE FIRST BREAK,0,17-06-2024,04-05-2026,4,1043.25,1027.85,1.5,10%,"53,771,192"
FINCABLES,BSE:FINCABLES,156,PURE FIRST BREAK,0,24-06-2024,04-05-2026,4,1057.45,1015.58,4.12,10%,"489,181,635"
ADVENZYMES,BSE:ADVENZYMES,156,PURE FIRST BREAK,0,16-09-2024,11-05-2026,3,367.0,363.83,0.87,10%,"26,840,178"
GLAND,BSE:GLAND,260,PURE FIRST BREAK,0,09-08-2021,18-05-2026,2,2272.15,2130.91,6.63,10%,"235,903,691"
