Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
FAST,NASDAQ:FAST,52,PURE FIRST BREAK,0,25-08-2025,02-02-2026,18,46.57,45.26,2.9,10%,"1,490,817,458"
BCRX,NASDAQ:BCRX,52,PURE FIRST BREAK,0,16-06-2025,23-02-2026,15,8.7,8.49,2.48,10%,"154,432,827"
SBAC,NASDAQ:SBAC,52,PURE FIRST BREAK,0,21-07-2025,30-03-2026,10,204.79,203.64,0.57,10%,"788,011,415"
FELE,NASDAQ:FELE,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,103.57,100.8,2.75,10%,"130,601,770"
IGSB,NASDAQ:IGSB,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,9,52.34,52.21,0.25,10%,"891,669,477"
TOWN,NASDAQ:TOWN,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,35.67,34.63,2.99,10%,"87,412,898"
COFS,NASDAQ:COFS,52,PURE FIRST BREAK,0,15-12-2025,13-04-2026,8,32.28,30.51,5.81,10%,"12,953,964"
GBDC,NASDAQ:GBDC,52,PURE FIRST BREAK,0,14-07-2025,13-04-2026,8,12.96,12.87,0.73,10%,"52,223,616"
SWKS,NASDAQ:SWKS,52,PURE FIRST BREAK,0,27-10-2025,27-04-2026,6,73.97,67.79,9.12,10%,"1,690,650,951"
TSEL,NASDAQ:TSEL,52,PURE FIRST BREAK,0,29-10-2025,29-04-2026,6,29.28,28.67,2.15,10%,"11,788,626"
OMDA,NASDAQ:OMDA,52,PURE FIRST BREAK,0,27-10-2025,11-05-2026,4,17.14,16.48,4.03,10%,"82,188,011"
XOVR,NASDAQ:XOVR,52,PURE FIRST BREAK,0,27-10-2025,11-05-2026,5,20.92,19.93,4.98,10%,"457,179,406"
TENB,NASDAQ:TENB,52,PURE FIRST BREAK,0,07-07-2025,18-05-2026,4,27.72,25.38,9.22,10%,"53,083,799"
BLFS,NASDAQ:BLFS,52,PURE FIRST BREAK,0,20-10-2025,25-05-2026,2,26.1,24.77,5.36,10%,"73,134,811"
ELIL,NASDAQ:ELIL,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,2,28.12,26.02,8.09,10%,"14,006,572"
LFVN,NASDAQ:LFVN,52,PURE FIRST BREAK,0,11-08-2025,25-05-2026,2,9.05,8.41,7.67,10%,"41,740,411"
MDB,NASDAQ:MDB,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,3,354.18,340.94,3.88,10%,"449,666,919"
NEO,NASDAQ:NEO,52,PURE FIRST BREAK,0,12-01-2026,25-05-2026,2,11.15,10.49,6.27,10%,"102,235,462"
THRM,NASDAQ:THRM,52,PURE FIRST BREAK,0,05-01-2026,25-05-2026,2,36.36,33.56,8.34,10%,"62,855,533"
XRX,NASDAQ:XRX,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,2,3.47,3.18,9.05,10%,"77,766,171"
ANNX,NASDAQ:ANNX,104,PURE FIRST BREAK,0,14-10-2024,17-11-2025,30,4.64,4.6,0.79,10%,"13,446,720"
NEOG,NASDAQ:NEOG,104,PURE FIRST BREAK,0,29-07-2024,05-01-2026,22,9.1,8.42,8.03,10%,"71,424,993"
JBSS,NASDAQ:JBSS,104,PURE FIRST BREAK,0,29-07-2024,26-01-2026,19,79.43,75.45,5.27,10%,"41,049,424"
VNOM,NASDAQ:VNOM,104,PURE FIRST BREAK,0,25-11-2024,26-01-2026,20,43.69,42.38,3.1,10%,"74,923,979"
BCRX,NASDAQ:BCRX,104,PURE FIRST BREAK,0,02-06-2025,23-02-2026,15,8.7,8.57,1.46,10%,"154,432,827"
