Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
OBEROIRLTY,NSE:OBEROIRLTY,180,PURE FIRST BREAK,0,05-01-2026,07-04-2026,62,1600.4,1593.35,0.44,7%,"232,509,316"
GAIL,NSE:GAIL,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,61,168.6,157.76,6.87,7%,"1,517,383,532"
LT,NSE:LT,180,PURE FIRST BREAK,0,24-02-2026,08-04-2026,61,3875.5,3867.94,0.2,7%,"6,505,836,730"
ELLEN,NSE:ELLEN,180,PURE FIRST BREAK,0,11-12-2025,10-04-2026,59,261.65,253.52,3.21,7%,"24,502,737"
ASIANPAINT,NSE:ASIANPAINT,180,PURE FIRST BREAK,0,13-01-2026,15-04-2026,54,2659.2,2490.82,6.76,7%,"3,358,314,255"
BLUEJET,NSE:BLUEJET,180,PURE FIRST BREAK,0,22-12-2025,16-04-2026,53,450.85,431.73,4.43,7%,"115,159,265"
PIDILITIND,NSE:PIDILITIND,180,PURE FIRST BREAK,0,26-02-2026,17-04-2026,52,1459.8,1429.54,2.12,7%,"608,802,311"
VMART,NSE:VMART,180,PURE FIRST BREAK,0,12-12-2025,20-04-2026,49,652.9,632.9,3.16,7%,"101,866,768"
JUBLPHARMA,NSE:JUBLPHARMA,180,PURE FIRST BREAK,0,07-01-2026,22-04-2026,47,957.35,936.16,2.26,7%,"82,702,592"
RBA,NSE:RBA,180,PURE FIRST BREAK,0,16-01-2026,29-04-2026,40,68.69,65.61,4.69,7%,"271,358,206"
HCG,NSE:HCG,180,PURE FIRST BREAK,0,15-12-2025,04-05-2026,35,627.9,613.05,2.42,7%,"134,158,375"
RITCO,NSE:RITCO,180,PURE FIRST BREAK,0,15-12-2025,07-05-2026,32,250.1,243.64,2.65,7%,"9,474,288"
TEAMLEASE,NSE:TEAMLEASE,180,PURE FIRST BREAK,0,12-12-2025,07-05-2026,32,1383.3,1357.52,1.9,7%,"25,492,837"
GEOJITFSL,NSE:GEOJITFSL,180,PURE FIRST BREAK,0,17-12-2025,13-05-2026,26,72.86,71.92,1.3,7%,"35,725,808"
JLHL,NSE:JLHL,180,PURE FIRST BREAK,0,16-12-2025,14-05-2026,25,1333.2,1324.66,0.64,7%,"41,509,180"
RHETAN,NSE:RHETAN,180,PURE FIRST BREAK,0,04-05-2026,22-05-2026,17,29.88,29.44,1.49,7%,"173,729,217"
FAZE3Q,NSE:FAZE3Q,180,PURE FIRST BREAK,0,18-02-2026,25-05-2026,14,545.3,512.65,6.37,7%,"20,779,201"
DIAMONDYD,NSE:DIAMONDYD,180,PURE FIRST BREAK,0,01-01-2026,26-05-2026,13,1128.1,1087.61,3.72,7%,"14,921,378"
AZAD,NSE:AZAD,180,PURE FIRST BREAK,0,08-05-2026,04-06-2026,4,2175.8,2158.87,0.78,7%,"913,372,575"
IPCALAB,NSE:IPCALAB,180,PURE FIRST BREAK,0,20-05-2026,04-06-2026,4,1649.4,1621.32,1.73,7%,"1,525,229,892"
SKFINDUS,NSE:SKFINDUS,180,PURE FIRST BREAK,0,30-01-2026,04-06-2026,4,2382.8,2359.24,1.0,7%,"42,876,104"
IGPL,NSE:IGPL,365,PURE FIRST BREAK,0,21-07-2025,10-04-2026,59,438.85,420.04,4.48,7%,"9,815,758"
SUVEN,NSE:SUVEN,365,PURE FIRST BREAK,0,15-07-2025,10-04-2026,59,233.55,228.41,2.25,7%,"317,698,303"
AVL,NSE:AVL,365,PURE FIRST BREAK,0,04-11-2025,15-04-2026,54,537.1,520.19,3.25,7%,"45,338,757"
JSFB,NSE:JSFB,365,PURE FIRST BREAK,0,10-06-2025,22-04-2026,47,471.9,450.5,4.75,7%,"225,571,028"
NEULANDLAB,NSE:NEULANDLAB,365,PURE FIRST BREAK,0,10-11-2025,04-05-2026,35,16964.0,15936.21,6.45,7%,"551,804,992"
ARTEMISMED,NSE:ARTEMISMED,365,PURE FIRST BREAK,0,18-11-2025,06-05-2026,30,268.2,260.83,2.83,7%,"29,291,196"
CIPLA,NSE:CIPLA,365,PURE FIRST BREAK,0,23-10-2025,14-05-2026,25,1387.9,1384.89,0.22,7%,"929,172,696"
MOLDTKPAC,NSE:MOLDTKPAC,365,PURE FIRST BREAK,0,30-07-2025,14-05-2026,25,687.1,674.63,1.85,7%,"56,366,246"
SOMANYCERA,NSE:SOMANYCERA,365,PURE FIRST BREAK,0,10-06-2025,19-05-2026,20,495.6,494.62,0.2,7%,"26,699,955"
MONARCH,NSE:MONARCH,365,PURE FIRST BREAK,0,24-07-2025,22-05-2026,17,335.15,319.82,4.79,7%,"22,545,205"
NIBE,NSE:NIBE,365,PURE FIRST BREAK,0,12-06-2025,22-05-2026,17,1469.2,1382.04,6.31,7%,"635,020,541"
STALLION,NSE:STALLION,365,PURE FIRST BREAK,0,17-10-2025,25-05-2026,14,178.73,174.79,2.26,7%,"332,224,567"
AEGISLOG,NSE:AEGISLOG,365,PURE FIRST BREAK,0,03-10-2025,29-05-2026,10,755.55,748.39,0.96,7%,"590,811,380"
COFFEEDAY,NSE:COFFEEDAY,365,PURE FIRST BREAK,0,01-09-2025,01-06-2026,7,36.51,36.3,0.58,7%,"37,315,336"
GPTHEALTH,NSE:GPTHEALTH,365,PURE FIRST BREAK,0,05-08-2025,02-06-2026,6,147.2,146.59,0.42,7%,"14,112,947"
GTLINFRA,NSE:GTLINFRA,365,PURE FIRST BREAK,0,12-06-2025,04-06-2026,4,1.51,1.5,0.78,7%,"219,673,580"
NIITLTD,NSE:NIITLTD,365,PURE FIRST BREAK,0,11-06-2025,04-06-2026,4,93.03,92.81,0.24,7%,"92,933,713"
SAREGAMA,NSE:SAREGAMA,550,PURE FIRST BREAK,0,04-06-2025,01-06-2026,7,456.9,430.34,6.17,7%,"901,185,436"
ORCHPHARMA,NSE:ORCHPHARMA,550,PURE FIRST BREAK,0,03-01-2025,03-06-2026,5,842.55,833.21,1.12,7%,"181,569,522"
VADILALIND,NSE:VADILALIND,550,PURE FIRST BREAK,0,14-05-2025,03-06-2026,5,5632.9,5412.71,4.07,7%,"189,180,943"
TIPSMUSIC,NSE:TIPSMUSIC,730,PURE FIRST BREAK,0,06-11-2024,23-04-2026,46,656.3,634.14,3.49,7%,"167,571,763"
ADVENZYMES,NSE:ADVENZYMES,730,PURE FIRST BREAK,0,16-09-2024,04-05-2026,35,372.0,356.68,4.3,7%,"76,661,388"
TRITURBINE,NSE:TRITURBINE,730,PURE FIRST BREAK,0,26-11-2024,19-05-2026,20,663.6,634.46,4.59,7%,"304,201,528"
MAHESHWARI,NSE:MAHESHWARI,730,PURE FIRST BREAK,0,06-08-2024,03-06-2026,5,66.58,63.01,5.66,7%,"6,750,080"
CONFIPET,NSE:CONFIPET,900,PURE FIRST BREAK,0,19-02-2024,03-06-2026,5,77.4,73.15,5.81,7%,"173,094,345"
