Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
LANCORHOL,NSE:LANCORHOL,180,PURE FIRST BREAK,0,11-02-2026,07-04-2026,122,25.76,24.95,3.24,10%,"10,512,527"
LT,NSE:LT,180,PURE FIRST BREAK,0,24-02-2026,08-04-2026,121,4056.0,3910.8,3.71,10%,"3,655,632,240"
AHLUCONT,NSE:AHLUCONT,180,PURE FIRST BREAK,0,12-02-2026,15-04-2026,114,822.3,810.28,1.48,10%,"13,147,755"
SMCGLOBAL,NSE:SMCGLOBAL,180,PURE FIRST BREAK,0,11-02-2026,12-06-2026,56,79.54,73.02,8.93,10%,"29,205,975"
CCAVENUE,NSE:CCAVENUE,180,PURE FIRST BREAK,0,12-02-2026,24-06-2026,44,17.17,16.29,5.39,10%,"136,144,966"
ABREL,NSE:ABREL,180,PURE FIRST BREAK,0,07-05-2026,01-07-2026,37,1382.8,1379.1,0.27,10%,"367,462,519"
JAMNAAUTO,NSE:JAMNAAUTO,180,PURE FIRST BREAK,0,16-02-2026,02-07-2026,36,144.7,135.68,6.65,10%,"950,059,809"
USHAMART,NSE:USHAMART,180,PURE FIRST BREAK,0,04-06-2026,02-07-2026,36,515.05,509.07,1.18,10%,"106,028,706"
ENTERO,NSE:ENTERO,180,PURE FIRST BREAK,0,25-05-2026,13-07-2026,25,1242.7,1234.0,0.71,10%,"57,203,964"
LAXMIINDIA,NSE:LAXMIINDIA,180,PURE FIRST BREAK,0,11-05-2026,21-07-2026,17,134.06,125.43,6.88,10%,"32,399,888"
MANOMAY,NSE:MANOMAY,180,PURE FIRST BREAK,0,28-04-2026,27-07-2026,11,218.79,207.46,5.46,10%,"27,902,288"
VRLLOG,NSE:VRLLOG,180,PURE FIRST BREAK,0,11-02-2026,27-07-2026,11,281.35,265.25,6.07,10%,"72,250,963"
ARIS,NSE:ARIS,180,PURE FIRST BREAK,0,11-05-2026,28-07-2026,10,132.42,128.23,3.27,10%,"185,166,062"
KAYNES,NSE:KAYNES,180,PURE FIRST BREAK,0,08-05-2026,29-07-2026,9,3856.3,3516.8,9.65,10%,"3,111,120,196"
BALKRISIND,NSE:BALKRISIND,180,PURE FIRST BREAK,0,11-02-2026,30-07-2026,8,2466.3,2304.1,7.04,10%,"287,947,930"
ASHOKLEY,NSE:ASHOKLEY,180,PURE FIRST BREAK,0,11-02-2026,03-08-2026,4,177.5,167.52,5.96,10%,"2,002,562,100"
BELRISE,NSE:BELRISE,180,PURE FIRST BREAK,0,25-06-2026,03-08-2026,4,248.21,239.02,3.85,10%,"1,531,925,603"
NATIONALUM,NSE:NATIONALUM,180,PURE FIRST BREAK,0,02-06-2026,03-08-2026,4,381.0,369.43,3.13,10%,"1,685,526,093"
ASHAPURMIN,NSE:ASHAPURMIN,180,PURE FIRST BREAK,0,01-06-2026,04-08-2026,3,738.35,721.42,2.35,10%,"685,710,791"
BANCOINDIA,NSE:BANCOINDIA,180,PURE FIRST BREAK,0,03-07-2026,04-08-2026,3,686.95,671.13,2.36,10%,"76,261,069"
GRAPHITE,NSE:GRAPHITE,180,PURE FIRST BREAK,0,15-05-2026,04-08-2026,3,709.95,700.28,1.38,10%,"414,245,893"
HINDALCO,NSE:HINDALCO,180,PURE FIRST BREAK,0,29-05-2026,04-08-2026,3,1059.6,1016.48,4.24,10%,"9,838,117,695"
KEI,NSE:KEI,180,PURE FIRST BREAK,0,23-06-2026,04-08-2026,3,5600.0,5363.29,4.41,10%,"1,529,746,400"
NETWEB,NSE:NETWEB,180,PURE FIRST BREAK,0,19-06-2026,04-08-2026,3,4939.2,4698.21,5.13,10%,"6,405,856,180"
OFSS,NSE:OFSS,180,PURE FIRST BREAK,0,20-07-2026,04-08-2026,3,11805.0,11473.04,2.89,10%,"2,207,511,390"
