Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
GENUSPOWER,NSE:GENUSPOWER,180,PURE FIRST BREAK,0,24-06-2026,02-07-2026,69,329.0,323.98,1.55,10%,"458,098,942"
KARNIKA,NSE:KARNIKA,180,PURE FIRST BREAK,0,27-05-2026,09-07-2026,62,120.95,111.79,8.19,10%,"45,598,149"
SAMBHV,NSE:SAMBHV,180,PURE FIRST BREAK,0,11-05-2026,13-07-2026,58,130.44,123.69,5.46,10%,"387,673,687"
MANOMAY,NSE:MANOMAY,180,PURE FIRST BREAK,0,28-04-2026,27-07-2026,44,229.73,214.72,6.99,10%,"33,839,688"
SIRCA,NSE:SIRCA,180,PURE FIRST BREAK,0,20-04-2026,03-08-2026,38,431.55,430.95,0.14,10%,"135,144,626"
HINDZINC,NSE:HINDZINC,180,PURE FIRST BREAK,0,14-05-2026,05-08-2026,36,593.6,591.4,0.37,10%,"2,706,701,324"
DYNAMATECH,NSE:DYNAMATECH,180,PURE FIRST BREAK,0,08-05-2026,06-08-2026,35,11543.0,11221.93,2.86,10%,"141,113,175"
JSWINFRA,NSE:JSWINFRA,180,PURE FIRST BREAK,0,13-07-2026,10-08-2026,30,341.4,341.38,0.01,10%,"1,829,692,982"
JSWDULUX,NSE:JSWDULUX,180,PURE FIRST BREAK,0,03-07-2026,11-08-2026,29,3179.2,3124.73,1.74,10%,"119,502,947"
OIL,NSE:OIL,180,PURE FIRST BREAK,0,14-05-2026,11-08-2026,29,498.95,463.73,7.59,10%,"1,233,366,011"
MANAKCOAT,NSE:MANAKCOAT,180,PURE FIRST BREAK,0,21-07-2026,18-08-2026,22,126.42,124.55,1.5,10%,"89,431,150"
KRISHIVAL,NSE:KRISHIVAL,180,PURE FIRST BREAK,0,12-08-2026,21-08-2026,19,417.65,406.59,2.72,10%,"15,876,965"
GUJALKALI,NSE:GUJALKALI,180,PURE FIRST BREAK,0,05-05-2026,24-08-2026,17,718.75,717.7,0.15,10%,"44,113,281"
MANINFRA,NSE:MANINFRA,180,PURE FIRST BREAK,0,08-05-2026,27-08-2026,14,128.66,117.48,9.52,10%,"237,146,633"
METROPOLIS,NSE:METROPOLIS,180,PURE FIRST BREAK,0,30-07-2026,27-08-2026,13,602.1,582.55,3.36,10%,"284,250,796"
RSWM,NSE:RSWM,180,PURE FIRST BREAK,0,05-08-2026,03-09-2026,6,218.2,215.14,1.42,10%,"12,784,120"
CEIGALL,NSE:CEIGALL,180,PURE FIRST BREAK,0,30-06-2026,04-09-2026,5,376.4,352.84,6.68,10%,"91,516,013"
RELIGARE,NSE:RELIGARE,180,PURE FIRST BREAK,0,25-06-2026,04-09-2026,5,256.65,253.22,1.35,10%,"426,076,204"
RHETAN,NSE:RHETAN,180,PURE FIRST BREAK,0,11-08-2026,04-09-2026,5,26.6,25.69,3.56,10%,"1,471,283,687"
WOCKPHARMA,NSE:WOCKPHARMA,180,PURE FIRST BREAK,0,01-06-2026,04-09-2026,6,2220.6,2089.1,6.29,10%,"1,540,041,683"
IONEXCHANG,NSE:IONEXCHANG,180,PURE FIRST BREAK,0,13-07-2026,07-09-2026,2,437.45,430.4,1.64,10%,"343,844,021"
JUBLPHARMA,NSE:JUBLPHARMA,180,PURE FIRST BREAK,0,16-07-2026,07-09-2026,3,1025.65,951.22,7.82,10%,"177,860,022"
PENIND,NSE:PENIND,180,PURE FIRST BREAK,0,14-07-2026,07-09-2026,2,178.08,171.32,3.94,10%,"107,430,323"
SKYGOLD,NSE:SKYGOLD,180,PURE FIRST BREAK,0,26-08-2026,08-09-2026,2,830.3,820.39,1.21,10%,"622,750,730"
LT,NSE:LT,365,PURE FIRST BREAK,0,24-02-2026,08-04-2026,155,3955.0,3923.97,0.79,10%,"5,445,841,205"
GENUSPOWER,NSE:GENUSPOWER,365,PURE FIRST BREAK,0,07-11-2025,15-04-2026,147,329.0,317.85,3.51,10%,"458,098,942"
INDIGOPNTS,NSE:INDIGOPNTS,365,PURE FIRST BREAK,0,18-11-2025,13-05-2026,119,1111.2,1027.75,8.12,10%,"62,112,744"
NIITLTD,NSE:NIITLTD,365,PURE FIRST BREAK,0,11-09-2025,02-06-2026,99,94.99,93.27,1.84,10%,"14,582,295"
INDIGO,NSE:INDIGO,365,PURE FIRST BREAK,0,24-11-2025,15-06-2026,87,4945.0,4880.79,1.32,10%,"4,022,712,995"
WENDT,NSE:WENDT,365,PURE FIRST BREAK,0,11-09-2025,15-06-2026,86,8230.5,7887.45,4.35,10%,"43,662,802"
OPTIEMUS,NSE:OPTIEMUS,365,PURE FIRST BREAK,0,25-09-2025,02-07-2026,70,557.65,517.17,7.83,10%,"159,779,558"
