Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
BIRLACORPN,NSE:BIRLACORPN,180,PURE FIRST BREAK,0,10-02-2026,08-04-2026,104,1009.3,981.53,2.83,10%,"86,144,763"
AHLUCONT,NSE:AHLUCONT,180,PURE FIRST BREAK,0,12-02-2026,15-04-2026,97,844.8,808.88,4.44,10%,"13,199,155"
FIEMIND,NSE:FIEMIND,180,PURE FIRST BREAK,0,11-02-2026,15-04-2026,97,2331.5,2264.62,2.95,10%,"104,281,000"
360ONE,NSE:360ONE,180,PURE FIRST BREAK,0,03-02-2026,16-04-2026,97,1093.6,1092.43,0.11,10%,"999,243,076"
BAJAJHLDNG,NSE:BAJAJHLDNG,180,PURE FIRST BREAK,0,23-02-2026,17-04-2026,95,10446.0,10361.42,0.82,10%,"1,145,330,778"
COLPAL,NSE:COLPAL,180,PURE FIRST BREAK,0,27-02-2026,17-04-2026,95,2092.9,2060.99,1.55,10%,"670,736,747"
SHOPERSTOP,NSE:SHOPERSTOP,180,PURE FIRST BREAK,0,12-02-2026,06-05-2026,76,386.35,357.15,8.17,10%,"35,945,618"
SRF,NSE:SRF,180,PURE FIRST BREAK,0,03-02-2026,06-05-2026,77,2867.2,2688.1,6.66,10%,"4,518,844,749"
SMCGLOBAL,NSE:SMCGLOBAL,180,PURE FIRST BREAK,0,11-02-2026,12-06-2026,39,79.08,72.09,9.69,10%,"27,419,646"
VAIBHAVGBL,NSE:VAIBHAVGBL,180,PURE FIRST BREAK,0,03-02-2026,15-06-2026,36,258.11,240.47,7.33,10%,"92,219,859"
MAHLIFE,NSE:MAHLIFE,180,PURE FIRST BREAK,0,03-02-2026,18-06-2026,34,374.1,350.02,6.88,10%,"62,965,894"
KSB,NSE:KSB,180,PURE FIRST BREAK,0,28-04-2026,19-06-2026,32,906.8,905.35,0.16,10%,"29,939,815"
GLAXO,NSE:GLAXO,180,PURE FIRST BREAK,0,11-02-2026,22-06-2026,30,2552.8,2362.21,8.07,10%,"260,750,655"
NHPC,NSE:NHPC,180,PURE FIRST BREAK,0,29-04-2026,22-06-2026,30,80.28,78.42,2.38,10%,"797,408,062"
CCAVENUE,NSE:CCAVENUE,180,PURE FIRST BREAK,0,12-02-2026,24-06-2026,28,16.74,16.11,3.94,10%,"130,552,814"
ABREL,NSE:ABREL,180,PURE FIRST BREAK,0,07-05-2026,01-07-2026,20,1445.3,1374.5,5.15,10%,"94,372,312"
JAMNAAUTO,NSE:JAMNAAUTO,180,PURE FIRST BREAK,0,16-02-2026,02-07-2026,19,136.07,135.08,0.73,10%,"376,822,753"
ASTERDM,NSE:ASTERDM,180,PURE FIRST BREAK,0,12-06-2026,09-07-2026,12,813.45,809.33,0.51,10%,"312,146,800"
SUDARSCHEM,NSE:SUDARSCHEM,180,PURE FIRST BREAK,0,26-05-2026,10-07-2026,12,1030.4,1003.15,2.72,10%,"95,348,066"
INDIASHLTR,NSE:INDIASHLTR,180,PURE FIRST BREAK,0,06-05-2026,13-07-2026,8,815.15,806.18,1.11,10%,"62,447,013"
JITFINFRA,NSE:JITFINFRA,180,PURE FIRST BREAK,0,18-02-2026,13-07-2026,8,378.5,359.64,5.24,10%,"11,332,290"
ATALREAL,NSE:ATALREAL,180,PURE FIRST BREAK,0,17-06-2026,15-07-2026,6,30.41,30.14,0.91,10%,"247,789,315"
LAOPALA,NSE:LAOPALA,180,PURE FIRST BREAK,0,27-02-2026,15-07-2026,6,189.71,185.79,2.11,10%,"37,698,034"
RSWM,NSE:RSWM,180,PURE FIRST BREAK,0,10-06-2026,15-07-2026,6,214.75,211.38,1.6,10%,"20,342,623"
ACUTAAS,NSE:ACUTAAS,180,PURE FIRST BREAK,0,06-07-2026,16-07-2026,5,3677.0,3591.02,2.39,10%,"661,536,424"
BHARATFORG,NSE:BHARATFORG,180,PURE FIRST BREAK,0,29-06-2026,17-07-2026,4,2201.8,2189.09,0.58,10%,"1,582,590,023"
ANTHEM,NSE:ANTHEM,365,PURE FIRST BREAK,0,18-09-2025,09-04-2026,104,778.9,736.53,5.75,10%,"3,439,558,638"
OLECTRA,NSE:OLECTRA,365,PURE FIRST BREAK,0,23-09-2025,13-04-2026,100,1345.8,1272.36,5.77,10%,"631,110,241"
SOMANYCERA,NSE:SOMANYCERA,365,PURE FIRST BREAK,0,24-07-2025,15-04-2026,97,513.0,487.87,5.15,10%,"52,831,818"
ARTEMISMED,NSE:ARTEMISMED,365,PURE FIRST BREAK,0,18-11-2025,06-05-2026,77,273.45,262.63,4.12,10%,"37,174,435"
INDIGOPNTS,NSE:INDIGOPNTS,365,PURE FIRST BREAK,0,18-11-2025,13-05-2026,69,1077.5,990.65,8.77,10%,"42,605,428"
CIPLA,NSE:CIPLA,365,PURE FIRST BREAK,0,23-10-2025,14-05-2026,68,1432.5,1393.08,2.83,10%,"1,921,629,990"
MOLDTKPAC,NSE:MOLDTKPAC,365,PURE FIRST BREAK,0,30-07-2025,14-05-2026,68,698.55,678.56,2.95,10%,"13,688,786"
NIITLTD,NSE:NIITLTD,365,PURE FIRST BREAK,0,05-08-2025,02-06-2026,49,99.22,94.62,4.86,10%,"63,404,161"
NPST,NSE:NPST,365,PURE FIRST BREAK,0,22-08-2025,03-06-2026,48,1546.2,1428.13,8.27,10%,"54,331,920"
JASH,NSE:JASH,365,PURE FIRST BREAK,0,23-07-2025,12-06-2026,39,519.05,474.96,9.28,10%,"34,738,459"
MANBA,NSE:MANBA,365,PURE FIRST BREAK,0,03-11-2025,16-06-2026,35,139.83,129.5,7.98,10%,"74,883,580"
ACE,NSE:ACE,365,PURE FIRST BREAK,0,19-09-2025,17-06-2026,34,1035.5,966.08,7.19,10%,"6,127,128,056"
REDINGTON,NSE:REDINGTON,365,PURE FIRST BREAK,0,19-09-2025,18-06-2026,33,269.95,266.75,1.2,10%,"490,578,268"
GARFIBRES,NSE:GARFIBRES,365,PURE FIRST BREAK,0,23-07-2025,19-06-2026,32,779.0,739.39,5.36,10%,"31,632,853"
MEDANTA,NSE:MEDANTA,365,PURE FIRST BREAK,0,08-08-2025,19-06-2026,32,1342.6,1270.32,5.69,10%,"219,903,107"
MAHLIFE,NSE:MAHLIFE,365,PURE FIRST BREAK,0,01-12-2025,22-06-2026,30,374.1,359.16,4.16,10%,"62,965,894"
SUNDRMFAST,NSE:SUNDRMFAST,365,PURE FIRST BREAK,0,17-09-2025,25-06-2026,26,964.95,908.2,6.25,10%,"30,957,526"
TASTYBITE,NSE:TASTYBITE,365,PURE FIRST BREAK,0,07-08-2025,01-07-2026,20,9039.0,8675.05,4.2,10%,"25,345,356"
TSFINV,NSE:TSFINV,365,PURE FIRST BREAK,0,14-10-2025,06-07-2026,15,469.0,457.29,2.56,10%,"14,085,946"
SHAREINDIA,NSE:SHAREINDIA,365,PURE FIRST BREAK,0,20-10-2025,07-07-2026,14,185.88,174.22,6.69,10%,"369,667,559"
VAIBHAVGBL,NSE:VAIBHAVGBL,365,PURE FIRST BREAK,0,30-10-2025,09-07-2026,12,258.11,253.65,1.76,10%,"92,219,859"
SMCGLOBAL,NSE:SMCGLOBAL,365,PURE FIRST BREAK,0,02-01-2026,13-07-2026,8,79.08,76.67,3.14,10%,"27,419,646"
LXCHEM,NSE:LXCHEM,365,PURE FIRST BREAK,0,15-09-2025,15-07-2026,6,181.53,168.42,7.79,10%,"566,738,290"
