Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
PNBHOUSING,NSE:PNBHOUSING,12,PURE FIRST BREAK,0,01-06-2025,01-04-2026,2,997.7,971.33,2.71,10%,"4,650,500,249"
PREMIERENE,NSE:PREMIERENE,12,PURE FIRST BREAK,0,01-07-2025,01-04-2026,2,1080.1,995.48,8.5,10%,"9,794,658,728"
WABAG,NSE:WABAG,12,PURE FIRST BREAK,0,01-07-2025,01-04-2026,2,1600.4,1486.08,7.69,10%,"3,398,819,144"
WALCHANNAG,NSE:WALCHANNAG,12,PURE FIRST BREAK,0,01-06-2025,01-04-2026,2,241.75,228.24,5.92,10%,"2,955,844,856"
ASIANENE,NSE:ASIANENE,12,PURE FIRST BREAK,0,01-09-2025,01-05-2026,1,382.1,359.51,6.29,10%,"1,500,614,094"
CGCL,NSE:CGCL,12,PURE FIRST BREAK,0,01-10-2025,01-05-2026,1,202.77,198.19,2.31,10%,"3,883,118,782"
DEEPAKFERT,NSE:DEEPAKFERT,12,PURE FIRST BREAK,0,01-07-2025,01-05-2026,1,1425.8,1397.56,2.02,10%,"1,775,059,751"
EXIDEIND,NSE:EXIDEIND,12,PURE FIRST BREAK,0,01-09-2025,01-05-2026,1,399.55,387.04,3.23,10%,"10,190,715,022"
GALAPREC,NSE:GALAPREC,12,PURE FIRST BREAK,0,01-06-2025,01-05-2026,1,910.4,887.18,2.62,10%,"144,045,313"
JSFB,NSE:JSFB,12,PURE FIRST BREAK,0,01-06-2025,01-05-2026,1,477.55,476.66,0.19,10%,"2,437,986,287"
KIMS,NSE:KIMS,12,PURE FIRST BREAK,0,01-07-2025,01-05-2026,1,788.95,750.92,5.06,10%,"4,602,722,537"
KPIL,NSE:KPIL,12,PURE FIRST BREAK,0,01-11-2025,01-05-2026,1,1290.3,1272.91,1.37,10%,"1,680,642,910"
LLOYDSENGG,NSE:LLOYDSENGG,12,PURE FIRST BREAK,0,01-07-2025,01-05-2026,1,72.69,68.93,5.46,10%,"3,612,147,656"
MARKSANS,NSE:MARKSANS,12,PURE FIRST BREAK,0,01-06-2025,01-05-2026,1,233.19,229.72,1.51,10%,"3,151,428,566"
MIDHANI,NSE:MIDHANI,12,PURE FIRST BREAK,0,01-06-2025,01-05-2026,1,435.55,412.49,5.59,10%,"5,947,237,344"
NUVAMA,NSE:NUVAMA,12,PURE FIRST BREAK,0,01-07-2025,01-05-2026,1,1574.4,1485.12,6.01,10%,"4,619,034,619"
ORCHPHARMA,NSE:ORCHPHARMA,12,PURE FIRST BREAK,0,01-11-2025,01-05-2026,1,844.25,783.43,7.76,10%,"538,542,010"
PANAMAPET,NSE:PANAMAPET,12,PURE FIRST BREAK,0,01-06-2025,01-05-2026,1,344.75,331.23,4.08,10%,"644,446,002"
SAMMAANCAP,NSE:SAMMAANCAP,12,PURE FIRST BREAK,0,01-11-2025,01-05-2026,1,184.28,169.79,8.53,10%,"22,083,170,250"
SKIPPER,NSE:SKIPPER,12,PURE FIRST BREAK,0,01-09-2025,01-05-2026,1,556.6,516.8,7.7,10%,"6,549,040,473"
THYROCARE,NSE:THYROCARE,12,PURE FIRST BREAK,0,01-11-2025,01-05-2026,1,518.0,497.0,4.23,10%,"879,114,376"
TIINDIA,NSE:TIINDIA,12,PURE FIRST BREAK,0,01-09-2025,01-05-2026,1,3129.0,2985.74,4.8,10%,"4,616,589,180"
YESBANK,NSE:YESBANK,12,PURE FIRST BREAK,0,01-10-2025,01-05-2026,1,23.3,22.89,1.79,10%,"18,448,157,425"
ZIMLAB,NSE:ZIMLAB,12,PURE FIRST BREAK,0,01-07-2025,01-05-2026,1,105.12,96.15,9.33,10%,"22,907,646"
VHLTD,NSE:VHLTD,36,PURE FIRST BREAK,0,01-10-2023,01-11-2025,7,139.99,136.43,2.61,10%,"13,781,456"
ABB,NSE:ABB,36,PURE FIRST BREAK,0,01-06-2024,01-04-2026,2,7167.5,6798.23,5.43,10%,"14,847,963,640"
GAEL,NSE:GAEL,36,PURE FIRST BREAK,0,01-02-2024,01-04-2026,2,155.86,149.91,3.97,10%,"475,156,980"
INDOTECH,NSE:INDOTECH,36,PURE FIRST BREAK,0,01-01-2025,01-04-2026,2,2657.6,2428.36,9.44,10%,"707,554,135"
OFSS,NSE:OFSS,36,PURE FIRST BREAK,0,01-12-2024,01-04-2026,2,9936.5,9173.3,8.32,10%,"17,864,296,779"
SIEMENS,NSE:SIEMENS,36,PURE FIRST BREAK,0,01-10-2024,01-04-2026,2,3700.8,3666.68,0.93,10%,"9,804,163,190"
SONACOMS,NSE:SONACOMS,36,PURE FIRST BREAK,0,01-09-2024,01-04-2026,2,602.3,557.43,8.05,10%,"5,377,437,887"
STAR,NSE:STAR,36,PURE FIRST BREAK,0,01-10-2024,01-04-2026,2,1044.6,983.64,6.2,10%,"1,666,539,132"
ADANIENT,NSE:ADANIENT,36,PURE FIRST BREAK,0,01-06-2024,01-05-2026,1,3048.2,2825.37,7.89,10%,"54,864,364,981"
APOLLOPIPE,NSE:APOLLOPIPE,36,PURE FIRST BREAK,0,01-02-2024,01-05-2026,1,497.85,471.67,5.55,10%,"682,197,391"
JINDALSAW,NSE:JINDALSAW,36,PURE FIRST BREAK,0,01-10-2024,01-05-2026,1,250.57,230.0,8.94,10%,"5,714,158,812"
JSWENERGY,NSE:JSWENERGY,36,PURE FIRST BREAK,0,01-09-2024,01-05-2026,1,584.2,583.58,0.11,10%,"8,263,522,025"
NDLVENTURE,NSE:NDLVENTURE,36,PURE FIRST BREAK,0,01-12-2023,01-05-2026,1,129.73,119.96,8.15,10%,"13,629,563"
RAIN,NSE:RAIN,36,PURE FIRST BREAK,0,01-02-2024,01-05-2026,1,197.09,179.44,9.84,10%,"9,370,669,695"
RATEGAIN,NSE:RATEGAIN,36,PURE FIRST BREAK,0,01-02-2024,01-05-2026,1,758.7,708.05,7.15,10%,"2,838,478,075"
SASKEN,NSE:SASKEN,36,PURE FIRST BREAK,0,01-12-2024,01-05-2026,1,2181.2,2002.84,8.91,10%,"1,130,228,016"
SIS,NSE:SIS,36,PURE FIRST BREAK,0,01-01-2024,01-05-2026,1,417.05,395.75,5.38,10%,"908,638,903"
SKIPPER,NSE:SKIPPER,36,PURE FIRST BREAK,0,01-12-2024,01-05-2026,1,556.6,539.67,3.14,10%,"6,549,040,473"
SPARC,NSE:SPARC,36,PURE FIRST BREAK,0,01-04-2024,01-05-2026,1,212.82,207.46,2.58,10%,"6,082,616,929"
TALBROAUTO,NSE:TALBROAUTO,36,PURE FIRST BREAK,0,01-07-2024,01-05-2026,1,350.75,339.97,3.17,10%,"357,145,926"
TIMKEN,NSE:TIMKEN,36,PURE FIRST BREAK,0,01-06-2024,01-05-2026,1,3643.6,3519.95,3.51,10%,"919,364,107"
ZYDUSLIFE,NSE:ZYDUSLIFE,36,PURE FIRST BREAK,0,01-08-2024,01-05-2026,1,1089.0,1057.33,3.0,10%,"8,964,518,409"
RAIN,NSE:RAIN,60,PURE FIRST BREAK,0,01-08-2021,01-05-2026,1,197.09,188.21,4.72,10%,"9,370,669,695"
