Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
AVADHSUGAR,NSE:AVADHSUGAR,52,PURE FIRST BREAK,0,09-06-2025,16-03-2026,11,458.55,452.35,1.37,7%,"63,466,987"
IGPL,NSE:IGPL,52,PURE FIRST BREAK,0,21-07-2025,06-04-2026,8,441.85,429.57,2.86,7%,"86,736,924"
SUVEN,NSE:SUVEN,52,PURE FIRST BREAK,0,14-07-2025,06-04-2026,8,237.35,237.01,0.14,7%,"2,719,112,525"
BALRAMCHIN,NSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,6,531.8,514.9,3.28,7%,"2,003,186,853"
JSFB,NSE:JSFB,52,PURE FIRST BREAK,0,09-06-2025,20-04-2026,6,477.55,461.94,3.38,7%,"2,243,135,864"
ONESOURCE,NSE:ONESOURCE,52,PURE FIRST BREAK,0,16-06-2025,20-04-2026,6,1789.7,1747.59,2.41,7%,"2,223,240,447"
ARTEMISMED,NSE:ARTEMISMED,52,PURE FIRST BREAK,0,17-11-2025,04-05-2026,4,268.2,266.79,0.53,7%,"165,655,883"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,4,2686.7,2613.53,2.8,7%,"20,594,068,285"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,4,968.65,944.74,2.53,7%,"6,131,522,689"
GALAPREC,NSE:GALAPREC,52,PURE FIRST BREAK,0,09-06-2025,04-05-2026,4,910.4,858.04,6.1,7%,"129,733,824"
IIFLCAPS,NSE:IIFLCAPS,52,PURE FIRST BREAK,0,05-01-2026,04-05-2026,4,342.75,341.4,0.39,7%,"1,108,598,140"
INNOVACAP,NSE:INNOVACAP,52,PURE FIRST BREAK,0,09-06-2025,04-05-2026,4,867.5,834.47,3.96,7%,"113,945,258"
NEULANDLAB,NSE:NEULANDLAB,52,PURE FIRST BREAK,0,10-11-2025,04-05-2026,4,16811.0,16297.95,3.15,7%,"3,165,309,568"
CAPLIPOINT,NSE:CAPLIPOINT,52,PURE FIRST BREAK,0,15-09-2025,11-05-2026,3,2033.1,1960.6,3.7,7%,"975,414,276"
MARKSANS,NSE:MARKSANS,52,PURE FIRST BREAK,0,09-06-2025,11-05-2026,3,233.19,218.1,6.92,7%,"2,747,052,850"
HESTERBIO,NSE:HESTERBIO,52,PURE FIRST BREAK,0,04-08-2025,18-05-2026,2,1961.6,1897.22,3.39,7%,"63,818,694"
KDDL,NSE:KDDL,52,PURE FIRST BREAK,0,16-06-2025,18-05-2026,2,2904.7,2727.34,6.5,7%,"572,295,603"
PANAMAPET,NSE:PANAMAPET,52,PURE FIRST BREAK,0,09-06-2025,18-05-2026,2,344.75,323.72,6.5,7%,"608,452,722"
ONGC,NSE:ONGC,104,PURE FIRST BREAK,0,12-08-2024,02-02-2026,17,264.75,260.15,1.77,7%,"16,747,199,676"
GUJALKALI,NSE:GUJALKALI,104,PURE FIRST BREAK,0,07-10-2024,13-04-2026,7,650.85,649.66,0.18,7%,"307,112,673"
TIPSMUSIC,NSE:TIPSMUSIC,104,PURE FIRST BREAK,0,04-11-2024,20-04-2026,6,690.95,649.13,6.44,7%,"1,591,969,557"
SUPREMEPWR,NSE:SUPREMEPWR,104,PURE FIRST BREAK,0,01-07-2024,27-04-2026,5,245.2,229.64,6.77,7%,"106,048,999"
WALCHANNAG,NSE:WALCHANNAG,104,PURE FIRST BREAK,0,29-07-2024,27-04-2026,5,241.75,233.17,3.68,7%,"2,590,174,772"
TRITURBINE,NSE:TRITURBINE,104,PURE FIRST BREAK,0,25-11-2024,18-05-2026,2,686.9,655.77,4.75,7%,"3,614,924,717"
MENONBE,NSE:MENONBE,156,PURE FIRST BREAK,0,28-08-2023,04-05-2026,4,138.71,138.56,0.11,7%,"43,157,538"
