Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
TIINDIA,NSE:TIINDIA,52,PURE FIRST BREAK,0,15-09-2025,13-04-2026,12,2916.2,2869.44,1.63,10%,"1,779,441,881"
BALRAMCHIN,NSE:BALRAMCHIN,52,PURE FIRST BREAK,0,14-07-2025,20-04-2026,11,567.45,519.39,9.25,10%,"1,022,283,895"
LLOYDSENT,NSE:LLOYDSENT,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,11,74.58,69.0,8.09,10%,"1,295,386,764"
SOMANYCERA,NSE:SOMANYCERA,52,PURE FIRST BREAK,0,07-07-2025,20-04-2026,11,509.5,503.9,1.11,10%,"129,909,762"
MIDHANI,NSE:MIDHANI,52,PURE FIRST BREAK,0,14-07-2025,27-04-2026,10,409.75,395.38,3.63,10%,"1,227,583,137"
ARTEMISMED,NSE:ARTEMISMED,52,PURE FIRST BREAK,0,17-11-2025,04-05-2026,9,268.0,267.49,0.19,10%,"397,075,232"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,9,2673.8,2618.5,2.11,10%,"11,531,538,113"
FORTIS,NSE:FORTIS,52,PURE FIRST BREAK,0,13-10-2025,04-05-2026,9,951.45,950.37,0.11,10%,"6,767,339,492"
HESTERBIO,NSE:HESTERBIO,52,PURE FIRST BREAK,0,04-08-2025,18-05-2026,7,2102.2,1935.83,8.59,10%,"42,252,117"
BOROSCI,NSE:BOROSCI,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,6,158.31,153.58,3.08,10%,"62,297,200"
LMW,NSE:LMW,52,PURE FIRST BREAK,0,14-07-2025,25-05-2026,6,15733.0,15378.74,2.3,10%,"104,136,727"
MONARCH,NSE:MONARCH,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,6,351.2,330.56,6.24,10%,"140,550,947"
RBA,NSE:RBA,52,PURE FIRST BREAK,0,15-09-2025,25-05-2026,6,74.47,71.68,3.89,10%,"1,261,205,323"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,21-07-2025,25-05-2026,6,102.63,97.68,5.07,10%,"49,580,860"
GREENPLY,NSE:GREENPLY,52,PURE FIRST BREAK,0,21-07-2025,01-06-2026,5,311.05,287.93,8.03,10%,"325,057,191"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,5,961.9,909.26,5.79,10%,"290,588,074"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,5,1603.2,1476.62,8.57,10%,"187,473,393"
RELIABLE,NSE:RELIABLE,52,PURE FIRST BREAK,0,02-02-2026,01-06-2026,5,145.24,142.42,1.98,10%,"17,759,512"
SAREGAMA,NSE:SAREGAMA,52,PURE FIRST BREAK,0,14-07-2025,01-06-2026,5,476.1,437.13,8.92,10%,"1,801,920,450"
