Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
ALKYLAMINE,NSE:ALKYLAMINE,52,PURE FIRST BREAK,0,25-08-2025,04-05-2026,14,1919.0,1768.41,8.52,10%,"616,885,578"
ASIANPAINT,NSE:ASIANPAINT,52,PURE FIRST BREAK,0,01-12-2025,04-05-2026,14,2696.3,2636.97,2.25,10%,"12,109,140,142"
VERANDA,NSE:VERANDA,52,PURE FIRST BREAK,0,27-10-2025,04-05-2026,14,246.0,227.22,8.26,10%,"1,011,931,578"
MOLDTKPAC,NSE:MOLDTKPAC,52,PURE FIRST BREAK,0,01-09-2025,11-05-2026,13,691.0,685.64,0.78,10%,"148,611,297"
SARLAPOLY,NSE:SARLAPOLY,52,PURE FIRST BREAK,0,18-08-2025,11-05-2026,13,102.4,94.51,8.34,10%,"27,073,434"
IZMO,NSE:IZMO,52,PURE FIRST BREAK,0,29-09-2025,01-06-2026,10,937.85,933.97,0.42,10%,"423,771,263"
NPST,NSE:NPST,52,PURE FIRST BREAK,0,18-08-2025,01-06-2026,10,1587.9,1499.99,5.86,10%,"702,698,162"
ACE,NSE:ACE,52,PURE FIRST BREAK,0,15-09-2025,15-06-2026,8,1090.5,998.71,9.19,10%,"1,587,121,334"
INDHOTEL,NSE:INDHOTEL,52,PURE FIRST BREAK,0,18-08-2025,15-06-2026,8,720.0,713.68,0.89,10%,"4,979,007,360"
INDIGO,NSE:INDIGO,52,PURE FIRST BREAK,0,18-08-2025,22-06-2026,7,5310.0,5188.1,2.35,10%,"8,962,207,380"
3MINDIA,NSE:3MINDIA,52,PURE FIRST BREAK,0,09-02-2026,29-06-2026,6,35250.0,34611.26,1.85,10%,"1,886,368,500"
AVG,NSE:AVG,52,PURE FIRST BREAK,0,06-10-2025,29-06-2026,6,205.0,193.61,5.88,10%,"30,229,095"
BLUEJET,NSE:BLUEJET,52,PURE FIRST BREAK,0,18-08-2025,29-06-2026,6,586.05,557.27,5.17,10%,"1,857,327,203"
CHOICEIN,NSE:CHOICEIN,52,PURE FIRST BREAK,0,05-01-2026,29-06-2026,6,806.0,763.56,5.56,10%,"2,144,540,320"
MAHLIFE,NSE:MAHLIFE,52,PURE FIRST BREAK,0,01-12-2025,29-06-2026,6,384.3,372.26,3.23,10%,"162,807,537"
OPTIEMUS,NSE:OPTIEMUS,52,PURE FIRST BREAK,0,22-09-2025,29-06-2026,6,561.95,524.56,7.13,10%,"466,256,107"
ANANTRAJ,NSE:ANANTRAJ,52,PURE FIRST BREAK,0,06-10-2025,06-07-2026,5,630.0,586.17,7.48,10%,"6,742,714,860"
