Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
KAJARIACER,NSE:KAJARIACER,52,PURE FIRST BREAK,0,13-10-2025,06-04-2026,24,1216.4,1131.39,7.51,10%,"469,223,877"
IIFLCAPS,NSE:IIFLCAPS,52,PURE FIRST BREAK,0,05-01-2026,04-05-2026,20,353.05,342.96,2.94,10%,"1,918,367,719"
MOLDTKPAC,NSE:MOLDTKPAC,52,PURE FIRST BREAK,0,22-09-2025,11-05-2026,19,679.95,677.92,0.3,10%,"117,296,817"
INDIGO,NSE:INDIGO,52,PURE FIRST BREAK,0,24-11-2025,15-06-2026,14,5028.5,4993.62,0.7,10%,"12,494,932,456"
PCBL,NSE:PCBL,52,PURE FIRST BREAK,0,22-09-2025,15-06-2026,14,345.45,315.15,9.61,10%,"2,248,357,259"
HOMEFIRST,NSE:HOMEFIRST,52,PURE FIRST BREAK,0,26-01-2026,22-06-2026,13,1205.8,1204.11,0.14,10%,"1,016,086,704"
POLYMED,NSE:POLYMED,52,PURE FIRST BREAK,0,10-11-2025,29-06-2026,12,1726.6,1692.02,2.04,10%,"342,812,972"
ANANTRAJ,NSE:ANANTRAJ,52,PURE FIRST BREAK,0,06-10-2025,06-07-2026,11,631.8,592.09,6.71,10%,"5,665,449,683"
NAUKRI,NSE:NAUKRI,52,PURE FIRST BREAK,0,22-09-2025,06-07-2026,11,1297.0,1185.94,9.36,10%,"5,925,965,763"
ECLERX,NSE:ECLERX,52,PURE FIRST BREAK,0,02-02-2026,13-07-2026,10,1924.2,1799.56,6.93,10%,"862,999,830"
TECHM,NSE:TECHM,52,PURE FIRST BREAK,0,02-02-2026,13-07-2026,10,1557.0,1529.56,1.79,10%,"4,414,692,888"
SANATHAN,NSE:SANATHAN,52,PURE FIRST BREAK,0,22-09-2025,20-07-2026,9,506.35,476.58,6.25,10%,"289,028,634"
BECTORFOOD,NSE:BECTORFOOD,52,PURE FIRST BREAK,0,08-12-2025,03-08-2026,7,219.3,217.02,1.05,10%,"804,876,845"
DEVYANI,NSE:DEVYANI,52,PURE FIRST BREAK,0,22-09-2025,03-08-2026,7,140.11,134.91,3.85,10%,"917,828,669"
EMUDHRA,NSE:EMUDHRA,52,PURE FIRST BREAK,0,29-09-2025,03-08-2026,7,637.8,602.05,5.94,10%,"3,248,192,880"
MANYAVAR,NSE:MANYAVAR,52,PURE FIRST BREAK,0,22-09-2025,03-08-2026,7,531.15,505.16,5.15,10%,"288,194,036"
PNB,NSE:PNB,52,PURE FIRST BREAK,0,19-01-2026,03-08-2026,7,118.3,114.31,3.49,10%,"5,119,072,882"
SAPPHIRE,NSE:SAPPHIRE,52,PURE FIRST BREAK,0,22-09-2025,03-08-2026,7,231.48,219.4,5.51,10%,"934,200,022"
UNIONBANK,NSE:UNIONBANK,52,PURE FIRST BREAK,0,23-02-2026,03-08-2026,7,180.0,179.03,0.54,10%,"3,734,851,140"
APLAPOLLO,NSE:APLAPOLLO,52,PURE FIRST BREAK,0,09-02-2026,10-08-2026,6,2195.0,2052.56,6.94,10%,"3,403,286,040"
BRIGADE,NSE:BRIGADE,52,PURE FIRST BREAK,0,27-10-2025,10-08-2026,6,616.45,602.02,2.4,10%,"404,540,389"
MATRIMONY,NSE:MATRIMONY,52,PURE FIRST BREAK,0,19-01-2026,10-08-2026,6,544.95,505.9,7.72,10%,"34,533,482"
MOL,NSE:MOL,52,PURE FIRST BREAK,0,22-09-2025,10-08-2026,6,61.63,60.85,1.28,10%,"129,149,673"
MCX,NSE:MCX,52,PURE FIRST BREAK,0,18-05-2026,17-08-2026,5,3374.0,3086.63,9.31,10%,"23,063,024,236"
CHALET,NSE:CHALET,52,PURE FIRST BREAK,0,22-09-2025,24-08-2026,4,884.05,877.08,0.8,10%,"488,549,009"
PARADEEP,NSE:PARADEEP,52,PURE FIRST BREAK,0,29-09-2025,24-08-2026,4,154.26,150.41,2.56,10%,"844,689,628"
VIDHIING,NSE:VIDHIING,52,PURE FIRST BREAK,0,17-11-2025,24-08-2026,4,359.85,335.18,7.36,10%,"60,894,898"
PFOCUS,NSE:PFOCUS,52,PURE FIRST BREAK,0,13-04-2026,31-08-2026,3,337.15,320.26,5.27,10%,"7,621,594,893"
CEIGALL,NSE:CEIGALL,52,PURE FIRST BREAK,0,29-06-2026,07-09-2026,2,388.85,365.02,6.53,10%,"470,975,516"
HERITGFOOD,NSE:HERITGFOOD,52,PURE FIRST BREAK,0,22-09-2025,07-09-2026,2,424.05,394.66,7.45,10%,"473,986,114"
MEDICAMEQ,NSE:MEDICAMEQ,52,PURE FIRST BREAK,0,24-11-2025,07-09-2026,2,319.95,317.87,0.66,10%,"17,661,241"
RATNAMANI,NSE:RATNAMANI,52,PURE FIRST BREAK,0,11-05-2026,07-09-2026,2,2800.8,2764.68,1.31,10%,"263,989,409"
SPLPETRO,NSE:SPLPETRO,52,PURE FIRST BREAK,0,29-09-2025,07-09-2026,2,882.2,809.14,9.03,10%,"681,793,282"
TIPSMUSIC,NSE:TIPSMUSIC,104,PURE FIRST BREAK,0,04-11-2024,20-04-2026,22,670.5,666.21,0.64,10%,"460,036,755"
GRINDWELL,NSE:GRINDWELL,104,PURE FIRST BREAK,0,14-10-2024,11-05-2026,19,1977.6,1865.77,5.99,10%,"356,909,333"
AURUM,NSE:AURUM,104,PURE FIRST BREAK,0,30-12-2024,15-06-2026,14,223.19,209.71,6.43,10%,"76,318,929"
LODHA,NSE:LODHA,104,PURE FIRST BREAK,0,09-06-2025,06-07-2026,11,1162.5,1101.57,5.53,10%,"2,821,434,000"
SAREGAMA,NSE:SAREGAMA,104,PURE FIRST BREAK,0,30-09-2024,13-07-2026,10,507.0,490.29,3.41,10%,"749,607,105"
GUFICBIO,NSE:GUFICBIO,104,PURE FIRST BREAK,0,04-11-2024,03-08-2026,7,437.45,407.58,7.33,10%,"90,397,295"
RKFORGE,NSE:RKFORGE,104,PURE FIRST BREAK,0,14-10-2024,03-08-2026,7,710.2,697.54,1.81,10%,"960,635,712"
GLAXO,NSE:GLAXO,104,PURE FIRST BREAK,0,02-06-2025,10-08-2026,6,2876.9,2734.4,5.21,10%,"1,130,428,909"
NAUKRI,NSE:NAUKRI,104,PURE FIRST BREAK,0,06-01-2025,10-08-2026,6,1297.0,1295.07,0.15,10%,"5,925,965,763"
TCPLPACK,NSE:TCPLPACK,104,PURE FIRST BREAK,0,24-03-2025,10-08-2026,6,4003.0,3778.52,5.94,10%,"83,094,274"
HARSHA,NSE:HARSHA,104,PURE FIRST BREAK,0,02-12-2024,17-08-2026,5,464.5,435.47,6.67,10%,"492,821,030"
PONNIERODE,NSE:PONNIERODE,104,PURE FIRST BREAK,0,23-09-2024,17-08-2026,5,375.25,364.1,3.06,10%,"91,148,976"
GODREJAGRO,NSE:GODREJAGRO,104,PURE FIRST BREAK,0,28-07-2025,07-09-2026,2,670.05,650.45,3.01,10%,"300,122,760"
NOCIL,NSE:NOCIL,104,PURE FIRST BREAK,0,14-10-2024,07-09-2026,2,206.3,187.76,9.88,10%,"3,491,740,191"
ORIENTHOT,NSE:ORIENTHOT,104,PURE FIRST BREAK,0,09-12-2024,07-09-2026,2,143.58,141.2,1.69,10%,"347,590,960"
SIS,NSE:SIS,156,PURE FIRST BREAK,0,22-01-2024,04-05-2026,20,421.45,404.62,4.16,10%,"320,811,121"
ADANIENT,NSE:ADANIENT,156,PURE FIRST BREAK,0,03-06-2024,11-05-2026,19,2993.2,2740.47,9.22,10%,"9,839,210,961"
SPARC,NSE:SPARC,156,PURE FIRST BREAK,0,08-04-2024,18-05-2026,18,205.65,198.45,3.63,10%,"1,113,801,190"
GOCLCORP,NSE:GOCLCORP,156,PURE FIRST BREAK,0,23-10-2023,01-06-2026,16,392.75,376.62,4.28,10%,"641,359,572"
RANEHOLDIN,NSE:RANEHOLDIN,156,PURE FIRST BREAK,0,09-09-2024,15-06-2026,14,1591.9,1586.64,0.33,10%,"22,320,030"
NILKAMAL,NSE:NILKAMAL,156,PURE FIRST BREAK,0,23-10-2023,27-07-2026,8,1880.2,1801.29,4.38,10%,"124,333,862"
UFLEX,NSE:UFLEX,156,PURE FIRST BREAK,0,19-08-2024,17-08-2026,5,670.45,612.51,9.46,10%,"397,845,708"
HATSUN,NSE:HATSUN,156,PURE FIRST BREAK,0,15-07-2024,24-08-2026,4,1155.7,1087.89,6.23,10%,"127,846,996"
SOMANYCERA,NSE:SOMANYCERA,156,PURE FIRST BREAK,0,24-06-2024,24-08-2026,4,596.3,557.06,7.04,10%,"356,426,988"
KAMDHENU,NSE:KAMDHENU,156,PURE FIRST BREAK,0,09-09-2024,31-08-2026,3,40.77,38.5,5.9,10%,"264,566,562"
GMMPFAUDLR,NSE:GMMPFAUDLR,156,PURE FIRST BREAK,0,25-09-2023,07-09-2026,2,1432.6,1304.38,9.83,10%,"2,455,088,124"
YUKEN,NSE:YUKEN,156,PURE FIRST BREAK,0,08-07-2024,07-09-2026,2,1138.9,1090.53,4.44,10%,"68,566,337"
RBA,NSE:RBA,208,PURE FIRST BREAK,0,11-09-2023,03-08-2026,7,94.86,92.48,2.58,10%,"930,937,738"
DBL,NSE:DBL,260,PURE FIRST BREAK,0,11-10-2021,31-07-2023,164,413.55,379.35,9.01,10%,"658,680,916"
UFBL,NSE:UFBL,260,PURE FIRST BREAK,0,08-11-2021,22-06-2026,13,722.1,673.8,7.17,10%,"40,233,966"
AKSHARCHEM,NSE:AKSHARCHEM,260,PURE FIRST BREAK,0,04-10-2021,31-08-2026,3,389.95,369.07,5.66,10%,"20,404,524"
