Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
RELIANCE,NSE:RELIANCE,DAILY,180d,1309.5,1289.7,1.53,133706.8,24-07-2026,1249.8,45,3
HEROMOTOCO,NSE:HEROMOTOCO,DAILY,180d,5270.0,5218.09,0.99,18669.4,30-06-2026,4603.78,69,0
INDUSTOWER,NSE:INDUSTOWER,DAILY,180d,376.45,371.57,1.31,16229.5,31-07-2026,357.93,38,1
HINDPETRO,NSE:HINDPETRO,DAILY,180d,356.9,354.85,0.58,13774.5,23-03-2026,300.71,168,1
MUTHOOTFIN,NSE:MUTHOOTFIN,DAILY,180d,2880.0,2869.92,0.35,10682.0,03-08-2026,2671.0,35,0
YESBANK,NSE:YESBANK,DAILY,180d,22.42,22.01,1.88,7480.2,30-03-2026,17.2,161,0
SAMMAANCAP,NSE:SAMMAANCAP,DAILY,180d,155.92,154.62,0.84,7468.8,23-03-2026,129.0,168,15
PATANJALI,NSE:PATANJALI,DAILY,180d,340.9,336.4,1.34,6741.7,15-07-2026,326.06,54,0
MOSCHIP,NSE:MOSCHIP,DAILY,180d,212.6,211.01,0.75,4302.6,30-03-2026,146.8,161,15
EIDPARRY,NSE:EIDPARRY,DAILY,180d,777.7,768.59,1.19,2346.4,19-06-2026,698.2,80,0
GRAVITA,NSE:GRAVITA,DAILY,180d,1676.9,1656.73,1.22,2015.9,02-04-2026,1266.9,158,4
APOLLOTYRE,NSE:APOLLOTYRE,DAILY,180d,420.8,415.64,1.24,1843.9,20-05-2026,363.22,110,1
SYNGENE,NSE:SYNGENE,DAILY,180d,389.3,386.93,0.61,1729.8,30-07-2026,375.25,39,0
COROMANDEL,NSE:COROMANDEL,DAILY,180d,1974.6,1950.74,1.22,1707.5,08-06-2026,1704.84,91,10
GSFC,NSE:GSFC,DAILY,180d,162.02,161.97,0.03,1535.8,30-03-2026,138.83,161,52
BAJAJELEC,NSE:BAJAJELEC,DAILY,180d,342.1,341.42,0.2,833.1,11-06-2026,298.31,88,9
GIRIRAJ,NSE:GIRIRAJ,DAILY,180d,74.65,74.37,0.38,656.5,07-08-2026,52.5,28,0
VINATIORGA,NSE:VINATIORGA,DAILY,180d,1298.9,1297.58,0.1,577.2,13-04-2026,1203.0,147,1
EIHOTEL,NSE:EIHOTEL,DAILY,180d,294.0,292.49,0.52,331.0,02-04-2026,269.93,158,3
IGARASHI,NSE:IGARASHI,DAILY,180d,415.15,409.97,1.26,241.8,30-03-2026,270.26,161,0
DHANBANK,NSE:DHANBANK,DAILY,180d,31.36,30.94,1.35,217.0,30-03-2026,19.45,161,0
5PAISA,NSE:5PAISA,DAILY,180d,339.85,339.37,0.14,101.8,30-03-2026,245.5,161,2
