Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SBIN,NSE:SBIN,DAILY,180d,1030.1,1011.68,1.82,147050.8,20-10-2025,875.27,268,24
LT,NSE:LT,DAILY,365d,3783.9,3713.5,1.9,136303.7,07-04-2025,2909.48,464,13
HEROMOTOCO,NSE:HEROMOTOCO,DAILY,180d,4876.2,4841.19,0.72,29083.2,02-06-2026,4747.1,43,2
PFC,NSE:PFC,DAILY,180d,405.65,403.95,0.42,24384.0,18-12-2025,324.11,209,1
KEC,NSE:KEC,DAILY,180d,507.5,501.61,1.17,23395.7,19-05-2026,466.0,57,3
WIPRO,NSE:WIPRO,DAILY,180d,174.65,174.03,0.36,18161.4,11-06-2026,175.83,34,7
HAVELLS,NSE:HAVELLS,DAILY,180d,1177.4,1165.34,1.03,11412.8,02-06-2026,1123.6,43,1
CENTENKA,NSE:CENTENKA,DAILY,730d,549.85,545.89,0.73,10039.8,13-03-2024,365.15,854,336
JAINREC,NSE:JAINREC,DAILY,180d,341.4,336.51,1.45,9757.5,11-06-2026,302.0,34,1
ARSSBL,NSE:ARSSBL,DAILY,180d,556.05,546.17,1.81,5881.7,30-03-2026,412.33,107,23
COLPAL,NSE:COLPAL,DAILY,180d,2011.8,2002.54,0.46,2443.8,30-03-2026,1761.24,107,7
SHAKTIPUMP,NSE:SHAKTIPUMP,DAILY,180d,556.5,546.67,1.8,2074.3,30-03-2026,456.35,107,16
CHAMBLFERT,NSE:CHAMBLFERT,DAILY,180d,453.75,447.98,1.29,1590.7,16-03-2026,399.75,121,3
CASTROLIND,NSE:CASTROLIND,DAILY,180d,183.82,181.11,1.49,1520.7,24-03-2026,170.1,113,0
DEVYANI,NSE:DEVYANI,DAILY,180d,111.03,110.41,0.56,1143.2,02-04-2026,91.55,104,3
DCXINDIA,NSE:DCXINDIA,DAILY,180d,192.87,191.13,0.91,940.1,30-03-2026,153.3,107,5
MARSONS,NSE:MARSONS,DAILY,180d,113.04,112.42,0.55,849.8,11-06-2026,109.25,34,2
RENUKA,NSE:RENUKA,DAILY,180d,22.55,22.38,0.77,482.3,03-06-2026,21.05,42,2
VINATIORGA,NSE:VINATIORGA,DAILY,180d,1313.9,1295.28,1.44,306.1,13-04-2026,1203.0,93,0
RTNINDIA,NSE:RTNINDIA,DAILY,180d,32.45,32.07,1.18,258.0,09-03-2026,24.4,128,1
SNOWMAN,NSE:SNOWMAN,DAILY,180d,38.07,37.65,1.11,235.4,30-03-2026,30.5,107,19
INNOVISION,NSE:INNOVISION,DAILY,180d,292.8,287.93,1.69,185.9,11-06-2026,281.05,34,5
RELCAPITAL,NSE:RELCAPITAL,DAILY,180d,12.35,12.28,0.54,175.4,30-10-2023,8.45,119,2
FRONTSP,NSE:FRONTSP,DAILY,180d,1428.2,1413.59,1.03,137.6,11-06-2026,1395.0,34,3
