Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
PAYTM,NSE:PAYTM,DAILY,180d,1093.9,1082.17,1.08,43646.9,30-03-2026,930.6,80,9
HCLTECH,NSE:HCLTECH,DAILY,180d,1161.8,1151.71,0.88,39129.9,14-05-2026,1103.4,35,7
ULTRACEMCO,NSE:ULTRACEMCO,DAILY,180d,11430.0,11283.13,1.3,36753.9,23-03-2026,10325.0,87,10
ITC,NSE:ITC,DAILY,180d,291.15,290.62,0.18,30307.8,30-03-2026,279.39,80,14
TATAPOWER,NSE:TATAPOWER,DAILY,180d,402.9,397.3,1.41,22362.2,27-01-2026,342.5,142,3
BRITANNIA,NSE:BRITANNIA,DAILY,180d,5245.0,5195.41,0.95,20537.7,13-05-2026,5279.5,36,11
LTM,NSE:LTM,DAILY,180d,3998.0,3966.18,0.8,15689.6,14-05-2026,3855.63,35,4
IRFC,NSE:IRFC,DAILY,180d,100.13,98.5,1.66,10872.4,30-03-2026,87.0,80,13
DRREDDY,NSE:DRREDDY,DAILY,180d,1267.5,1254.01,1.08,9811.6,21-01-2026,1148.4,148,14
IREDA,NSE:IREDA,DAILY,180d,127.96,126.11,1.47,8150.0,30-03-2026,108.08,80,11
COLPAL,NSE:COLPAL,DAILY,180d,2027.3,2004.51,1.14,7636.8,30-03-2026,1761.24,80,2
RPOWER,NSE:RPOWER,DAILY,180d,26.66,26.44,0.82,6204.3,30-03-2026,20.17,80,1
PPLPHARMA,NSE:PPLPHARMA,DAILY,180d,160.2,159.55,0.41,5827.7,23-03-2026,132.3,87,0
IEX,NSE:IEX,DAILY,180d,123.56,122.99,0.47,5504.4,30-03-2026,112.82,80,7
GLAXO,NSE:GLAXO,DAILY,180d,2266.2,2230.15,1.62,5115.2,30-03-2026,2162.55,80,20
EFCIL,NSE:EFCIL,DAILY,180d,183.4,180.68,1.51,4953.5,15-05-2026,171.55,34,1
GPPL,NSE:GPPL,DAILY,180d,154.97,153.18,1.17,4254.3,30-03-2026,141.55,80,2
