Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SBICARD,NSE:SBICARD,DAILY,180d,623.65,620.82,0.46,14009.4,11-06-2026,565.45,69,3
GMRAIRPORT,NSE:GMRAIRPORT,DAILY,180d,102.5,101.4,1.09,13614.4,30-03-2026,84.11,142,2
WIPRO,NSE:WIPRO,DAILY,180d,179.55,176.41,1.78,10708.7,02-07-2026,167.09,48,0
OLAELEC,NSE:OLAELEC,DAILY,180d,37.28,36.94,0.91,9945.0,16-03-2026,22.25,156,1
KPITTECH,NSE:KPITTECH,DAILY,180d,589.1,582.43,1.14,8548.1,15-07-2026,538.45,35,0
CAMS,NSE:CAMS,DAILY,180d,754.3,746.25,1.08,8495.3,23-03-2026,606.32,149,1
MARSONS,NSE:MARSONS,DAILY,180d,108.37,107.34,0.96,5365.9,08-07-2026,104.16,42,15
MFSL,NSE:MFSL,DAILY,365d,1546.1,1530.07,1.05,4435.9,17-03-2025,950.0,520,8
HDBFS,NSE:HDBFS,DAILY,180d,681.1,673.84,1.08,3485.4,30-03-2026,553.72,142,9
ICICIPRULI,NSE:ICICIPRULI,DAILY,180d,499.5,495.88,0.73,3319.5,11-06-2026,459.5,69,4
GICRE,NSE:GICRE,DAILY,180d,359.6,355.15,1.25,2047.5,17-06-2026,346.7,63,2
SUNDARMFIN,NSE:SUNDARMFIN,DAILY,180d,4485.1,4419.09,1.49,1723.9,08-06-2026,3979.02,72,0
ONESOURCE,NSE:ONESOURCE,DAILY,180d,1520.5,1509.85,0.71,1029.2,30-01-2026,1057.0,201,0
APTUS,NSE:APTUS,DAILY,180d,253.05,250.73,0.92,1012.5,30-03-2026,191.24,142,1
PURVA,NSE:PURVA,DAILY,180d,218.74,215.82,1.35,913.7,30-03-2026,160.69,142,9
RAYMONDREL,NSE:RAYMONDREL,DAILY,180d,572.6,561.8,1.92,880.0,16-03-2026,347.9,156,2
FEDFINA,NSE:FEDFINA,DAILY,180d,149.8,148.09,1.16,838.8,09-03-2026,119.07,163,1
ONEPOINT,NSE:ONEPOINT,DAILY,180d,56.31,55.92,0.7,732.4,30-03-2026,40.58,142,9
SHARDAMOTR,NSE:SHARDAMOTR,DAILY,365d,943.0,936.59,0.68,666.6,07-04-2025,614.57,499,175
HINDOILEXP,NSE:HINDOILEXP,DAILY,180d,153.71,150.87,1.88,658.6,30-03-2026,117.5,142,0
EKC,NSE:EKC,DAILY,180d,111.93,111.82,0.1,426.2,30-03-2026,90.25,142,11
INDIACEM,NSE:INDIACEM,DAILY,365d,369.7,363.8,1.62,324.1,28-02-2025,238.85,537,1
NIVABUPA,NSE:NIVABUPA,DAILY,180d,83.96,82.51,1.75,309.2,24-03-2026,67.5,148,3
UTKARSHBNK,NSE:UTKARSHBNK,DAILY,180d,13.88,13.71,1.23,242.1,30-03-2026,10.12,142,10
FLAIR,NSE:FLAIR,DAILY,180d,248.95,248.2,0.3,110.4,21-07-2026,242.87,29,0
