Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
JSLL,NSE:JSLL,MONTHLY,36mo,602.35,584.51,3.05,476559.7,01-07-2023,254.96,1066,8
NHPC,NSE:NHPC,MONTHLY,36mo,74.0,73.11,1.22,440809.0,01-07-2023,41.72,1066,1
HINDUNILVR,NSE:HINDUNILVR,MONTHLY,84mo,2132.8,2074.2,2.83,260035.9,01-07-2019,1491.42,2527,1
KALYANKJIL,NSE:KALYANKJIL,MONTHLY,60mo,355.05,347.56,2.16,195758.5,01-06-2022,54.61,1461,0
KALYANKJIL,NSE:KALYANKJIL,MONTHLY,84mo,355.05,347.56,2.16,195758.5,01-06-2022,54.61,1461,0
KALYANKJIL,NSE:KALYANKJIL,MONTHLY,120mo,355.05,347.56,2.16,195758.5,01-06-2022,54.61,1461,0
OLECTRA,NSE:OLECTRA,MONTHLY,36mo,1300.0,1265.27,2.74,148123.7,01-07-2023,957.38,1066,7
CIPLA,NSE:CIPLA,MONTHLY,36mo,1363.71,1311.99,3.94,125655.3,01-07-2023,960.8,1066,2
CONCORDBIO,NSE:CONCORDBIO,MONTHLY,120mo,1272.2,1242.85,2.36,120643.5,01-08-2023,889.37,1035,5
CONCORDBIO,NSE:CONCORDBIO,MONTHLY,60mo,1272.2,1242.85,2.36,120643.5,01-08-2023,889.37,1035,5
CONCORDBIO,NSE:CONCORDBIO,MONTHLY,36mo,1272.2,1242.85,2.36,120643.5,01-08-2023,889.37,1035,5
CONCORDBIO,NSE:CONCORDBIO,MONTHLY,84mo,1272.2,1242.85,2.36,120643.5,01-08-2023,889.37,1035,5
HDFCLIFE,NSE:HDFCLIFE,MONTHLY,120mo,560.6,547.16,2.46,119587.7,01-11-2017,299.96,3134,2
BRITANNIA,NSE:BRITANNIA,MONTHLY,36mo,5107.5,5072.64,0.69,108293.8,01-11-2023,4236.32,943,2
LICI,NSE:LICI,MONTHLY,120mo,403.9,400.81,0.77,100746.2,01-03-2023,257.91,1188,3
LICI,NSE:LICI,MONTHLY,84mo,403.9,400.81,0.77,100746.2,01-03-2023,257.91,1188,3
LICI,NSE:LICI,MONTHLY,60mo,403.9,400.81,0.77,100746.2,01-03-2023,257.91,1188,3
GODREJCP,NSE:GODREJCP,MONTHLY,60mo,1013.2,988.24,2.53,98030.4,01-03-2022,630.45,1553,1
MPHASIS,NSE:MPHASIS,MONTHLY,60mo,2340.5,2291.39,2.14,92119.8,01-04-2023,1551.52,1157,4
MPHASIS,NSE:MPHASIS,MONTHLY,36mo,2340.5,2329.54,0.47,92119.8,01-07-2023,1729.06,1066,4
NATCOPHARM,NSE:NATCOPHARM,MONTHLY,84mo,865.0,835.55,3.52,87250.7,01-03-2020,385.48,2283,16
NATCOPHARM,NSE:NATCOPHARM,MONTHLY,120mo,865.0,835.55,3.52,87250.7,01-03-2020,385.48,2283,16
KPITTECH,NSE:KPITTECH,MONTHLY,120mo,756.15,728.46,3.8,87106.0,01-03-2020,33.17,2283,1
KPITTECH,NSE:KPITTECH,MONTHLY,84mo,756.15,728.46,3.8,87106.0,01-03-2020,33.17,2283,1
VMM,NSE:VMM,MONTHLY,36mo,118.26,116.07,1.89,79908.6,01-02-2025,95.99,485,2
VMM,NSE:VMM,MONTHLY,60mo,118.26,116.07,1.89,79908.6,01-02-2025,95.99,485,2
VMM,NSE:VMM,MONTHLY,84mo,118.26,116.07,1.89,79908.6,01-02-2025,95.99,485,2
VMM,NSE:VMM,MONTHLY,120mo,118.26,116.07,1.89,79908.6,01-02-2025,95.99,485,2
RPOWER,NSE:RPOWER,MONTHLY,36mo,27.78,26.95,3.06,79055.5,01-07-2023,14.1,1066,2
PAGEIND,NSE:PAGEIND,MONTHLY,36mo,38905.0,37735.0,3.1,62616.0,01-03-2024,31839.04,822,6
HLEGLAS,NSE:HLEGLAS,MONTHLY,60mo,371.85,371.4,0.12,61126.4,01-03-2025,217.36,457,5
