Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
HDFCBANK,NSE:HDFCBANK,WEEKLY,52w,787.1,786.72,0.05,788807.3,26-01-2026,905.0,140,16
INDIGO,NSE:INDIGO,WEEKLY,104w,4878.4,4798.68,1.66,199349.1,28-10-2024,3773.62,595,23
ITC,NSE:ITC,WEEKLY,52w,290.75,290.1,0.22,99694.7,26-01-2026,291.82,140,4
ITC,NSE:ITC,WEEKLY,104w,290.75,290.1,0.22,99694.7,26-01-2026,291.82,140,4
ITC,NSE:ITC,WEEKLY,156w,290.75,290.1,0.22,99694.7,26-01-2026,291.82,140,4
POWERGRID,NSE:POWERGRID,WEEKLY,52w,286.35,283.74,0.92,67217.6,26-01-2026,247.42,140,0
NHPC,NSE:NHPC,WEEKLY,52w,74.41,74.15,0.35,66624.0,26-01-2026,73.04,140,1
NHPC,NSE:NHPC,WEEKLY,208w,74.41,73.09,1.8,66624.0,27-06-2022,26.92,1449,1
CIPLA,NSE:CIPLA,WEEKLY,156w,1350.8,1346.6,0.31,58297.6,26-06-2023,953.9,1085,16
PNB,NSE:PNB,WEEKLY,52w,108.87,108.8,0.07,57560.6,25-08-2025,97.76,294,8
BDL,NSE:BDL,WEEKLY,52w,1309.8,1286.32,1.83,54781.9,15-12-2025,1301.07,182,6
APLAPOLLO,NSE:APLAPOLLO,WEEKLY,52w,1854.6,1821.64,1.81,54010.0,28-07-2025,1486.81,322,2
TATACONSUM,NSE:TATACONSUM,WEEKLY,52w,1124.5,1109.58,1.34,53959.3,11-08-2025,1028.99,308,6
MUTHOOTFIN,NSE:MUTHOOTFIN,WEEKLY,52w,3190.6,3187.41,0.1,53831.3,11-08-2025,2455.83,308,2
SRF,NSE:SRF,WEEKLY,104w,2705.5,2688.03,0.65,45541.3,18-11-2024,2117.56,574,11
TITAGARH,NSE:TITAGARH,WEEKLY,156w,920.4,919.33,0.12,45514.1,26-06-2023,466.99,1085,38
KFINTECH,NSE:KFINTECH,WEEKLY,208w,898.45,891.98,0.72,34432.9,20-03-2023,268.66,1183,5
KFINTECH,NSE:KFINTECH,WEEKLY,260w,898.45,891.98,0.72,34432.9,20-03-2023,268.66,1183,5
CYIENT,NSE:CYIENT,WEEKLY,52w,876.15,868.93,0.83,33539.8,26-01-2026,1068.9,140,8
BLUESTARCO,NSE:BLUESTARCO,WEEKLY,104w,1695.6,1692.76,0.17,32958.7,26-05-2025,1513.73,385,6
GODREJCP,NSE:GODREJCP,WEEKLY,260w,1020.0,1018.04,0.19,29558.8,07-03-2022,630.45,1561,3
COROMANDEL,NSE:COROMANDEL,WEEKLY,52w,2035.9,2016.58,0.96,29456.3,03-11-2025,2087.27,224,9
M&MFIN,NSE:M&MFIN,WEEKLY,104w,297.5,297.29,0.07,27175.6,05-05-2025,230.52,406,2
CEATLTD,NSE:CEATLTD,WEEKLY,104w,3487.0,3419.81,1.96,25346.3,03-03-2025,2321.15,469,6
SHREECEM,NSE:SHREECEM,WEEKLY,208w,24970.0,24576.95,1.6,23089.0,27-06-2022,18505.65,1449,5
SHREECEM,NSE:SHREECEM,WEEKLY,52w,24970.0,24659.67,1.26,23089.0,15-12-2025,25360.0,182,6
SHREECEM,NSE:SHREECEM,WEEKLY,260w,24970.0,24551.86,1.7,23089.0,20-06-2022,17571.47,1456,5
CONCOR,NSE:CONCOR,WEEKLY,52w,467.0,465.7,0.28,19912.8,26-01-2026,469.6,140,5
