Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
UCB,NYSE:UCB,180,PURE FIRST BREAK,0,06-02-2026,07-04-2026,76,33.38,32.95,1.3,10%,"35,719,939"
AUB,NYSE:AUB,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,75,39.62,37.63,5.28,10%,"29,144,471"
BOND,NYSE:BOND,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,75,91.75,91.71,0.05,10%,"54,251,775"
FEOE,NYSE:FEOE,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,75,53.65,52.9,1.41,10%,"12,473,625"
FHN,NYSE:FHN,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,75,24.81,24.06,3.11,10%,"98,195,497"
FNB,NYSE:FNB,180,PURE FIRST BREAK,0,09-02-2026,08-04-2026,75,18.36,17.4,5.54,10%,"54,969,842"
GBCI,NYSE:GBCI,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,75,48.93,47.84,2.27,10%,"46,742,829"
HTH,NYSE:HTH,180,PURE FIRST BREAK,0,10-02-2026,08-04-2026,75,37.98,37.42,1.48,10%,"12,362,490"
PNC,NYSE:PNC,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,75,234.71,220.62,6.39,10%,"524,224,800"
RF,NYSE:RF,180,PURE FIRST BREAK,0,12-02-2026,08-04-2026,75,28.75,27.57,4.28,10%,"296,671,250"
USB,NYSE:USB,180,PURE FIRST BREAK,0,11-02-2026,08-04-2026,75,58.68,55.31,6.1,10%,"506,613,783"
MC,NYSE:MC,180,PURE FIRST BREAK,0,16-01-2026,09-04-2026,74,66.94,64.04,4.53,10%,"56,042,170"
NLY,NYSE:NLY,180,PURE FIRST BREAK,0,28-01-2026,09-04-2026,74,22.16,22.08,0.34,10%,"219,100,350"
PB,NYSE:PB,180,PURE FIRST BREAK,0,12-02-2026,09-04-2026,74,71.57,68.87,3.91,10%,"59,159,762"
APO,NYSE:APO,180,PURE FIRST BREAK,0,06-01-2026,15-04-2026,68,135.21,123.6,9.4,10%,"544,139,151"
CRBG,NYSE:CRBG,180,PURE FIRST BREAK,0,12-02-2026,15-04-2026,68,29.09,26.83,8.41,10%,"109,456,944"
U,NYSE:U,180,PURE FIRST BREAK,0,13-01-2026,15-04-2026,68,27.14,26.03,4.27,10%,"127,544,427"
KWR,NYSE:KWR,180,PURE FIRST BREAK,0,18-02-2026,17-04-2026,66,150.24,140.36,7.04,10%,"17,788,417"
TTI,NYSE:TTI,180,PURE FIRST BREAK,0,04-02-2026,22-04-2026,61,10.34,9.79,5.65,10%,"12,629,276"
DNOW,NYSE:DNOW,180,PURE FIRST BREAK,0,11-02-2026,24-04-2026,59,13.71,13.02,5.34,10%,"66,250,833"
