Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
GFL,NYSE:GFL,180,PURE FIRST BREAK,0,08-04-2026,06-07-2026,80,41.79,39.92,4.68,10%,"135,495,720"
TXNM,NYSE:TXNM,180,PURE FIRST BREAK,0,27-05-2026,21-07-2026,65,58.17,57.74,0.74,10%,"142,691,006"
TTE,NYSE:TTE,180,PURE FIRST BREAK,0,18-05-2026,22-07-2026,64,91.89,86.48,6.25,10%,"138,220,937"
GATX,NYSE:GATX,180,PURE FIRST BREAK,0,17-04-2026,23-07-2026,63,183.38,181.2,1.2,10%,"53,015,159"
ICE,NYSE:ICE,180,PURE FIRST BREAK,0,08-04-2026,24-07-2026,62,156.93,149.16,5.21,10%,"421,121,635"
T,NYSE:T,180,PURE FIRST BREAK,0,30-03-2026,24-07-2026,62,25.45,24.04,5.87,10%,"870,807,406"
NE,NYSE:NE,180,PURE FIRST BREAK,0,20-05-2026,10-08-2026,45,43.74,43.52,0.5,10%,"63,597,962"
WEAV,NYSE:WEAV,180,PURE FIRST BREAK,0,15-07-2026,18-08-2026,37,7.34,7.12,3.06,10%,"12,296,702"
OR,NYSE:OR,180,PURE FIRST BREAK,0,17-04-2026,19-08-2026,36,35.74,35.03,2.03,10%,"21,293,893"
IFF,NYSE:IFF,180,PURE FIRST BREAK,0,05-08-2026,25-08-2026,30,85.85,85.66,0.22,10%,"189,110,377"
FET,NYSE:FET,180,PURE FIRST BREAK,0,18-08-2026,31-08-2026,24,83.64,82.57,1.29,10%,"16,903,644"
BE,NYSE:BE,180,PURE FIRST BREAK,0,25-06-2026,04-09-2026,20,266.65,250.31,6.53,10%,"4,813,005,725"
NRGV,NYSE:NRGV,180,PURE FIRST BREAK,0,04-06-2026,08-09-2026,16,4.3,4.12,4.4,10%,"14,496,591"
UMC,NYSE:UMC,180,PURE FIRST BREAK,0,25-06-2026,08-09-2026,16,24.1,22.1,9.06,10%,"160,809,663"
BZH,NYSE:BZH,180,PURE FIRST BREAK,0,05-08-2026,15-09-2026,9,33.36,33.3,0.19,10%,"20,316,240"
ETN,NYSE:ETN,180,PURE FIRST BREAK,0,12-08-2026,18-09-2026,6,440.0,424.15,3.74,10%,"599,280,000"
AMC,NYSE:AMC,180,PURE FIRST BREAK,0,03-08-2026,21-09-2026,3,2.91,2.76,5.6,10%,"66,453,926"
BKKT,NYSE:BKKT,180,PURE FIRST BREAK,0,26-05-2026,21-09-2026,3,9.08,8.81,3.05,10%,"12,696,564"
DOCN,NYSE:DOCN,180,PURE FIRST BREAK,0,17-06-2026,21-09-2026,3,141.57,136.81,3.48,10%,"247,690,885"
MANE,NYSE:MANE,180,PURE FIRST BREAK,0,01-07-2026,21-09-2026,3,115.72,112.27,3.07,10%,"67,198,605"
BFLY,NYSE:BFLY,180,PURE FIRST BREAK,0,10-08-2026,22-09-2026,2,9.41,8.99,4.69,10%,"49,861,707"
NATL,NYSE:NATL,365,PURE FIRST BREAK,0,04-03-2026,15-04-2026,162,45.92,45.33,1.29,10%,"18,299,119"
DEO,NYSE:DEO,365,PURE FIRST BREAK,0,24-02-2026,17-04-2026,160,86.83,83.74,3.69,10%,"76,618,794"
KWR,NYSE:KWR,365,PURE FIRST BREAK,0,18-02-2026,17-04-2026,160,159.47,149.02,7.01,10%,"17,446,018"
ECL,NYSE:ECL,365,PURE FIRST BREAK,0,24-02-2026,16-06-2026,100,275.37,272.83,0.93,10%,"268,788,652"
COR,NYSE:COR,365,PURE FIRST BREAK,0,02-03-2026,06-07-2026,80,309.87,304.96,1.61,10%,"335,093,413"
DG,NYSE:DG,365,PURE FIRST BREAK,0,26-02-2026,13-07-2026,73,122.53,121.94,0.49,10%,"284,845,488"
ALLE,NYSE:ALLE,365,PURE FIRST BREAK,0,12-02-2026,23-07-2026,63,152.48,148.06,2.98,10%,"150,345,276"
T,NYSE:T,365,PURE FIRST BREAK,0,24-03-2026,24-07-2026,62,25.45,24.14,5.41,10%,"870,807,406"
SAP,NYSE:SAP,365,PURE FIRST BREAK,0,23-10-2025,04-08-2026,51,209.11,194.23,7.66,10%,"245,160,565"
INSP,NYSE:INSP,365,PURE FIRST BREAK,0,10-12-2025,10-09-2026,14,68.81,68.21,0.88,10%,"39,951,085"
BMNR,NYSE:BMNR,365,PURE FIRST BREAK,0,07-10-2025,21-09-2026,3,28.03,26.86,4.35,10%,"923,512,842"
HOG,NYSE:HOG,550,PURE FIRST BREAK,0,17-09-2025,09-04-2026,168,25.52,23.21,9.94,10%,"57,187,769"
VNO,NYSE:VNO,550,PURE FIRST BREAK,0,15-09-2025,26-05-2026,121,34.38,34.19,0.55,10%,"41,307,571"
GRND,NYSE:GRND,550,PURE FIRST BREAK,0,02-06-2025,01-07-2026,85,15.87,15.27,3.9,10%,"24,565,173"
BOX,NYSE:BOX,550,PURE FIRST BREAK,0,04-06-2025,13-07-2026,73,32.32,29.86,8.24,10%,"69,921,087"
HRB,NYSE:HRB,550,PURE FIRST BREAK,0,08-05-2025,16-07-2026,70,42.61,42.03,1.39,10%,"103,499,691"
PRGO,NYSE:PRGO,550,PURE FIRST BREAK,0,25-07-2025,19-08-2026,36,14.68,13.45,9.12,10%,"113,536,590"
