Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
BOND,NYSE:BOND,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,139,91.12,90.94,0.2,10%,"46,615,262"
WAL,NYSE:WAL,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,139,79.63,78.41,1.56,10%,"125,564,322"
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,132,46.4,45.2,2.65,10%,"24,529,082"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,27-02-2026,15-06-2026,71,289.54,272.06,6.42,10%,"510,046,151"
QGEN,NYSE:QGEN,180,PURE FIRST BREAK,0,27-02-2026,24-06-2026,62,43.65,40.09,8.89,10%,"177,732,374"
RSG,NYSE:RSG,180,PURE FIRST BREAK,0,03-03-2026,24-06-2026,62,220.96,214.46,3.03,10%,"296,953,677"
BFAM,NYSE:BFAM,180,PURE FIRST BREAK,0,22-04-2026,26-06-2026,60,73.89,71.79,2.92,10%,"33,381,359"
MDT,NYSE:MDT,180,PURE FIRST BREAK,0,02-03-2026,02-07-2026,54,91.14,83.55,9.08,10%,"619,542,647"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,50,328.06,302.39,8.49,10%,"356,402,741"
DG,NYSE:DG,180,PURE FIRST BREAK,0,27-02-2026,13-07-2026,43,122.58,120.76,1.5,10%,"187,515,900"
PUK,NYSE:PUK,180,PURE FIRST BREAK,0,06-05-2026,13-07-2026,43,28.43,28.43,0.0,10%,"13,390,274"
AORT,NYSE:AORT,180,PURE FIRST BREAK,0,21-04-2026,16-07-2026,40,26.38,25.74,2.47,10%,"19,407,027"
TTE,NYSE:TTE,180,PURE FIRST BREAK,0,18-05-2026,22-07-2026,34,88.8,85.21,4.22,10%,"219,439,460"
ICE,NYSE:ICE,180,PURE FIRST BREAK,0,08-04-2026,24-07-2026,32,161.78,147.98,9.33,10%,"342,932,182"
T,NYSE:T,180,PURE FIRST BREAK,0,24-03-2026,24-07-2026,32,25.77,23.88,7.93,10%,"742,684,069"
JBS,NYSE:JBS,180,PURE FIRST BREAK,0,10-04-2026,27-07-2026,29,14.05,13.45,4.49,10%,"64,161,911"
KVUE,NYSE:KVUE,180,PURE FIRST BREAK,0,07-07-2026,27-07-2026,29,19.33,19.26,0.34,10%,"394,507,863"
G,NYSE:G,180,PURE FIRST BREAK,0,05-03-2026,28-07-2026,28,37.25,34.06,9.37,10%,"76,871,708"
CSL,NYSE:CSL,180,PURE FIRST BREAK,0,29-06-2026,30-07-2026,26,363.27,361.58,0.47,10%,"139,453,536"
EW,NYSE:EW,180,PURE FIRST BREAK,0,07-07-2026,03-08-2026,22,90.87,89.52,1.51,10%,"217,155,499"
HPE,NYSE:HPE,180,PURE FIRST BREAK,0,02-06-2026,04-08-2026,21,53.44,52.12,2.54,10%,"598,364,298"
WTS,NYSE:WTS,180,PURE FIRST BREAK,0,30-06-2026,05-08-2026,20,371.54,369.69,0.5,10%,"54,914,356"
LDOS,NYSE:LDOS,180,PURE FIRST BREAK,0,03-03-2026,06-08-2026,19,134.54,133.06,1.11,10%,"167,928,783"
