Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
CUBI,NYSE:CUBI,180,PURE FIRST BREAK,0,03-02-2026,06-04-2026,114,78.66,74.96,4.94,10%,"26,345,359"
FEGE,NYSE:FEGE,180,PURE FIRST BREAK,0,27-02-2026,08-04-2026,112,50.63,49.21,2.88,10%,"12,617,351"
MC,NYSE:MC,180,PURE FIRST BREAK,0,05-02-2026,08-04-2026,112,65.25,63.95,2.03,10%,"81,258,892"
TFC,NYSE:TFC,180,PURE FIRST BREAK,0,06-02-2026,08-04-2026,112,52.31,49.46,5.76,10%,"311,477,602"
PB,NYSE:PB,180,PURE FIRST BREAK,0,12-02-2026,09-04-2026,111,74.23,70.16,5.8,10%,"95,473,814"
HTGC,NYSE:HTGC,180,PURE FIRST BREAK,0,30-01-2026,15-04-2026,105,15.97,15.26,4.65,10%,"20,591,175"
NATL,NYSE:NATL,180,PURE FIRST BREAK,0,04-03-2026,15-04-2026,105,47.51,44.95,5.7,10%,"43,841,134"
DEO,NYSE:DEO,180,PURE FIRST BREAK,0,24-02-2026,17-04-2026,103,89.16,81.57,9.31,10%,"131,564,412"
KWR,NYSE:KWR,180,PURE FIRST BREAK,0,18-02-2026,17-04-2026,103,148.79,143.47,3.71,10%,"16,007,571"
DNOW,NYSE:DNOW,180,PURE FIRST BREAK,0,11-02-2026,24-04-2026,96,13.34,13.12,1.65,10%,"26,883,929"
HRI,NYSE:HRI,180,PURE FIRST BREAK,0,11-02-2026,28-04-2026,92,143.02,136.23,4.98,10%,"124,411,672"
ECL,NYSE:ECL,180,PURE FIRST BREAK,0,24-02-2026,16-06-2026,43,283.7,270.83,4.75,10%,"345,079,928"
BKD,NYSE:BKD,180,PURE FIRST BREAK,0,17-02-2026,24-06-2026,35,14.86,14.53,2.26,10%,"55,276,791"
NNI,NYSE:NNI,180,PURE FIRST BREAK,0,28-04-2026,24-06-2026,35,138.04,132.81,3.94,10%,"11,749,688"
RSG,NYSE:RSG,180,PURE FIRST BREAK,0,03-03-2026,24-06-2026,35,218.91,214.05,2.27,10%,"292,041,706"
WTM,NYSE:WTM,180,PURE FIRST BREAK,0,17-04-2026,02-07-2026,27,2150.34,2149.05,0.06,10%,"40,125,346"
AAMI,NYSE:AAMI,180,PURE FIRST BREAK,0,17-06-2026,06-07-2026,23,80.83,78.3,3.23,10%,"74,613,609"
COR,NYSE:COR,180,PURE FIRST BREAK,0,02-03-2026,06-07-2026,23,318.61,299.88,6.25,10%,"265,814,081"
MUSA,NYSE:MUSA,180,PURE FIRST BREAK,0,11-06-2026,07-07-2026,22,616.23,591.63,4.16,10%,"152,758,482"
QGEN,NYSE:QGEN,180,PURE FIRST BREAK,0,30-01-2026,09-07-2026,20,41.81,40.8,2.47,10%,"52,287,128"
DG,NYSE:DG,180,PURE FIRST BREAK,0,26-02-2026,13-07-2026,16,128.68,120.52,6.77,10%,"188,408,613"
