Stock,TV Symbol,Anchor Period,Break Type,Failed Attempts,Highest High Date,Successful Breakout,Periods Held,CMP,AVWAP,% Above AVWAP,Ceiling Used,Turnover (₹)
CWAN,NYSE:CWAN,52,PURE FIRST BREAK,0,09-06-2025,17-11-2025,29,24.4,22.84,6.84,10%,"462,792,475"
RGR,NYSE:RGR,52,PURE FIRST BREAK,0,13-10-2025,05-01-2026,22,39.3,37.96,3.53,10%,"21,986,856"
KVUE,NYSE:KVUE,52,PURE FIRST BREAK,0,21-07-2025,02-02-2026,18,18.07,17.66,2.34,10%,"1,334,952,272"
CBU,NYSE:CBU,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,65.35,62.97,3.78,10%,"69,065,146"
CFG,NYSE:CFG,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,66.51,63.8,4.26,10%,"1,510,549,429"
KEY,NYSE:KEY,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,22.33,21.38,4.45,10%,"1,694,121,984"
PFS,NYSE:PFS,52,PURE FIRST BREAK,0,09-02-2026,06-04-2026,9,23.25,22.24,4.55,10%,"88,749,272"
WBS,NYSE:WBS,52,PURE FIRST BREAK,0,23-02-2026,06-04-2026,9,73.2,71.9,1.81,10%,"1,655,439,086"
GHC,NYSE:GHC,52,PURE FIRST BREAK,0,19-01-2026,13-04-2026,8,1156.21,1133.4,2.01,10%,"82,300,181"
HRI,NYSE:HRI,52,PURE FIRST BREAK,0,09-02-2026,27-04-2026,6,142.51,135.47,5.19,10%,"479,578,054"
PII,NYSE:PII,52,PURE FIRST BREAK,0,05-01-2026,27-04-2026,6,69.39,63.64,9.04,10%,"234,509,609"
TWO,NYSE:TWO,52,PURE FIRST BREAK,0,12-01-2026,27-04-2026,6,12.33,11.68,5.6,10%,"74,922,801"
CMC,NYSE:CMC,52,PURE FIRST BREAK,0,09-02-2026,04-05-2026,5,77.75,71.84,8.22,10%,"363,198,551"
IVZ,NYSE:IVZ,52,PURE FIRST BREAK,0,19-01-2026,04-05-2026,5,28.29,26.65,6.15,10%,"733,156,818"
PRMB,NYSE:PRMB,52,PURE FIRST BREAK,0,09-06-2025,04-05-2026,5,23.54,22.51,4.59,10%,"390,374,970"
TDC,NYSE:TDC,52,PURE FIRST BREAK,0,09-02-2026,04-05-2026,5,32.8,32.32,1.5,10%,"331,677,823"
AES,NYSE:AES,52,PURE FIRST BREAK,0,23-02-2026,11-05-2026,4,14.67,14.51,1.1,10%,"701,917,856"
CPA,NYSE:CPA,52,PURE FIRST BREAK,0,09-02-2026,11-05-2026,4,139.09,131.04,6.14,10%,"223,688,705"
IONQ,NYSE:IONQ,52,PURE FIRST BREAK,0,13-10-2025,11-05-2026,4,57.99,53.57,8.25,10%,"7,832,325,749"
MFG,NYSE:MFG,52,PURE FIRST BREAK,0,09-02-2026,18-05-2026,3,9.52,8.99,5.95,10%,"199,267,042"
AXTA,NYSE:AXTA,52,PURE FIRST BREAK,0,16-02-2026,25-05-2026,2,32.68,30.98,5.48,10%,"406,278,777"
BBY,NYSE:BBY,52,PURE FIRST BREAK,0,27-10-2025,25-05-2026,2,77.1,70.16,9.89,10%,"1,405,090,495"
GE,NYSE:GE,52,PURE FIRST BREAK,0,23-02-2026,25-05-2026,2,332.76,315.17,5.58,10%,"6,462,628,317"
HEI-A,NYSE:HEI-A,52,PURE FIRST BREAK,0,12-01-2026,25-05-2026,2,251.05,243.36,3.16,10%,"491,919,175"
PFGC,NYSE:PFGC,52,PURE FIRST BREAK,0,15-09-2025,25-05-2026,2,104.06,97.08,7.19,10%,"793,979,550"
UIS,NYSE:UIS,52,PURE FIRST BREAK,0,09-06-2025,25-05-2026,2,3.8,3.51,8.26,10%,"14,039,951"
UPS,NYSE:UPS,52,PURE FIRST BREAK,0,09-02-2026,25-05-2026,2,108.65,105.55,2.94,10%,"2,844,709,651"
MQY,NYSE:MQY,104,PURE FIRST BREAK,0,30-09-2024,08-09-2025,39,11.48,11.19,2.57,10%,"24,802,929"
PAM,NYSE:PAM,104,PURE FIRST BREAK,0,06-01-2025,27-10-2025,32,88.33,81.19,8.79,10%,"127,237,159"
CHD,NYSE:CHD,104,PURE FIRST BREAK,0,10-03-2025,26-01-2026,19,97.08,95.46,1.69,10%,"717,359,762"
PCG,NYSE:PCG,104,PURE FIRST BREAK,0,25-11-2024,09-02-2026,17,16.79,16.68,0.66,10%,"1,143,831,472"
KNTK,NYSE:KNTK,104,PURE FIRST BREAK,0,20-01-2025,16-02-2026,16,47.2,43.61,8.24,10%,"195,837,146"
LYB,NYSE:LYB,104,PURE FIRST BREAK,0,29-07-2024,02-03-2026,14,63.47,62.25,1.96,10%,"1,729,689,424"
SEM,NYSE:SEM,104,PURE FIRST BREAK,0,11-11-2024,30-03-2026,10,16.66,16.28,2.33,10%,"111,313,289"
TNC,NYSE:TNC,104,PURE FIRST BREAK,0,22-07-2024,20-04-2026,7,87.53,81.42,7.5,10%,"49,902,778"
CBT,NYSE:CBT,104,PURE FIRST BREAK,0,04-11-2024,04-05-2026,5,85.46,79.91,6.94,10%,"218,545,574"
ESS,NYSE:ESS,104,PURE FIRST BREAK,0,03-03-2025,11-05-2026,4,280.59,267.18,5.02,10%,"636,924,701"
GCTS,NYSE:GCTS,104,PURE FIRST BREAK,0,24-06-2024,18-05-2026,3,2.57,2.42,6.27,10%,"62,617,442"
OXY,NYSE:OXY,156,PURE FIRST BREAK,0,08-04-2024,16-02-2026,16,55.47,50.97,8.82,10%,"2,932,892,666"
LYB,NYSE:LYB,156,PURE FIRST BREAK,0,06-05-2024,02-03-2026,14,63.47,63.18,0.45,10%,"1,729,689,424"
PFE,NYSE:PFE,208,PURE FIRST BREAK,0,12-12-2022,26-01-2026,19,26.17,26.11,0.22,10%,"5,183,372,763"
LXU,NYSE:LXU,208,PURE FIRST BREAK,0,31-10-2022,23-02-2026,15,11.7,11.39,2.76,10%,"45,312,976"
MQY,NYSE:MQY,260,PURE FIRST BREAK,0,08-11-2021,11-12-2023,130,11.48,10.72,7.11,10%,"24,802,929"
MHD,NYSE:MHD,260,PURE FIRST BREAK,0,20-12-2021,18-12-2023,129,11.75,10.85,8.31,10%,"19,562,328"
KW,NYSE:KW,260,PURE FIRST BREAK,0,28-03-2022,04-05-2026,5,10.94,10.81,1.25,10%,"144,502,013"
