Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
UNH,NYSE:UNH,DAILY,180d,376.9,370.47,1.74,32437.1,27-03-2026,252.96,175,0
IBM,NYSE:IBM,DAILY,180d,229.55,225.8,1.66,30731.5,23-07-2026,197.77,57,0
APH,NYSE:APH,DAILY,180d,77.55,76.11,1.89,23080.7,19-05-2026,58.92,122,1
HUBS,NYSE:HUBS,DAILY,180d,216.12,213.55,1.2,19421.8,25-06-2026,169.63,85,1
SGOV,NYSE:SGOV,DAILY,180d,100.59,99.35,1.25,18059.3,31-12-2025,98.03,261,0
GM,NYSE:GM,DAILY,180d,82.2,81.02,1.45,17375.0,19-05-2026,70.13,122,19
WRB,NYSE:WRB,DAILY,180d,69.99,69.22,1.12,14192.5,01-06-2026,62.31,109,7
SO,NYSE:SO,DAILY,730d,85.52,84.19,1.58,12952.6,15-02-2024,60.19,946,1
CAH,NYSE:CAH,DAILY,180d,225.38,221.7,1.66,9333.0,13-05-2026,180.06,128,0
TFC,NYSE:TFC,DAILY,180d,48.56,48.44,0.25,8346.8,19-03-2026,42.26,183,5
DLR,NYSE:DLR,DAILY,180d,182.12,179.19,1.64,8297.6,08-01-2026,148.46,253,6
HRI,NYSE:HRI,DAILY,180d,135.26,134.56,0.52,7610.9,02-04-2026,87.56,169,0
CMG,NYSE:CMG,DAILY,180d,33.43,33.25,0.53,7527.3,04-06-2026,28.04,106,2
TKO,NYSE:TKO,DAILY,180d,189.26,185.73,1.9,6954.2,23-07-2026,177.77,57,4
ECL,NYSE:ECL,DAILY,180d,269.46,268.1,0.51,6925.7,19-05-2026,241.85,122,1
CBRE,NYSE:CBRE,DAILY,180d,139.5,138.06,1.04,6216.8,01-06-2026,121.69,109,1
NSC,NYSE:NSC,DAILY,180d,314.16,308.76,1.75,5958.0,20-01-2026,274.3,241,21
GIS,NYSE:GIS,DAILY,180d,36.32,35.98,0.94,5950.9,04-06-2026,31.21,106,2
D,NYSE:D,DAILY,180d,63.58,63.36,0.35,5864.2,07-01-2026,55.19,254,4
CCI,NYSE:CCI,DAILY,180d,73.06,72.66,0.56,5193.1,05-08-2026,68.72,44,0
MTB,NYSE:MTB,DAILY,180d,227.31,224.13,1.42,4970.4,19-03-2026,191.37,183,7
AA,NYSE:AA,DAILY,365d,44.43,44.26,0.38,4825.2,09-04-2025,21.22,527,2
LYB,NYSE:LYB,DAILY,180d,61.93,61.2,1.19,4795.0,31-12-2025,41.83,261,24
RF,NYSE:RF,DAILY,180d,28.5,28.04,1.63,4678.2,19-03-2026,24.24,183,0
RBA,NYSE:RBA,DAILY,180d,83.2,83.14,0.07,4167.0,17-08-2026,81.71,32,7
APG,NYSE:APG,DAILY,365d,37.39,37.17,0.59,4153.6,07-04-2025,20.5,529,4
SW,NYSE:SW,DAILY,180d,44.33,43.81,1.19,3962.9,20-05-2026,35.21,121,5
HUBB,NYSE:HUBB,DAILY,550d,446.92,439.44,1.7,3947.0,04-04-2025,293.96,532,2
HUBB,NYSE:HUBB,DAILY,365d,446.92,440.28,1.51,3947.0,07-04-2025,295.28,529,2
SHV,NYSE:SHV,DAILY,180d,110.21,108.84,1.26,2893.1,31-12-2025,107.55,261,0
PNFP,NYSE:PNFP,DAILY,180d,96.75,95.28,1.54,2816.1,19-03-2026,80.29,183,0
PPL,NYSE:PPL,DAILY,730d,33.34,32.71,1.92,2762.6,08-02-2024,23.16,953,1
WPC,NYSE:WPC,DAILY,365d,66.26,65.74,0.78,2686.6,09-04-2025,50.64,527,0
ALV,NYSE:ALV,DAILY,180d,116.98,115.69,1.12,2143.5,20-03-2026,97.72,182,1
PB,NYSE:PB,DAILY,180d,70.02,69.21,1.17,2053.8,19-03-2026,62.15,183,3
NFG,NYSE:NFG,DAILY,180d,80.92,79.76,1.46,2014.1,18-06-2026,74.64,92,0
ENB,NYSE:ENB,DAILY,365d,48.73,47.82,1.91,1981.3,07-04-2025,37.07,529,4
FR,NYSE:FR,DAILY,180d,61.8,61.76,0.06,1972.5,20-03-2026,55.73,182,7
WAL,NYSE:WAL,DAILY,180d,78.54,77.02,1.98,1924.5,19-03-2026,65.12,183,0
UNF,NYSE:UNF,DAILY,180d,261.62,257.11,1.75,1920.0,07-01-2026,185.85,254,2
