Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
BRK-B,NYSE:BRK-B,DAILY,180d,489.39,480.67,1.81,15493.3,16-04-2026,464.01,97,2
SGOV,NYSE:SGOV,DAILY,180d,100.6,99.38,1.23,11996.4,31-10-2025,98.0,264,0
GTLS,NYSE:GTLS,DAILY,180d,209.9,206.83,1.48,9766.7,04-11-2025,198.91,253,2
SPOT,NYSE:SPOT,DAILY,180d,474.16,465.78,1.8,6603.8,05-02-2026,405.0,167,17
CMG,NYSE:CMG,DAILY,180d,32.2,32.05,0.47,5829.9,04-06-2026,28.04,48,0
SYK,NYSE:SYK,DAILY,180d,309.24,306.7,0.83,4642.8,11-05-2026,280.25,72,3
APO,NYSE:APO,DAILY,180d,119.04,116.88,1.85,4038.4,03-03-2026,99.14,141,1
RCL,NYSE:RCL,DAILY,180d,285.85,282.51,1.18,3827.3,20-05-2026,230.9,63,2
DOW,NYSE:DOW,DAILY,180d,31.25,31.04,0.69,3602.9,20-11-2025,20.18,244,21
SHV,NYSE:SHV,DAILY,180d,110.27,108.9,1.26,3059.8,31-10-2025,107.5,264,0
ECL,NYSE:ECL,DAILY,180d,266.88,262.76,1.57,2952.5,19-05-2026,242.49,64,1
DLR,NYSE:DLR,DAILY,180d,178.41,176.08,1.32,2855.2,18-12-2025,144.28,216,4
ROL,NYSE:ROL,DAILY,180d,43.47,43.43,0.1,2784.1,22-06-2026,44.09,30,5
KR,NYSE:KR,DAILY,180d,57.54,57.23,0.54,2660.5,22-06-2026,55.6,30,2
COR,NYSE:COR,DAILY,365d,300.58,297.63,0.99,2225.4,18-02-2025,235.48,519,40
FIS,NYSE:FIS,DAILY,180d,40.54,39.92,1.56,2206.7,22-06-2026,37.42,30,0
BKU,NYSE:BKU,DAILY,180d,45.94,45.32,1.37,2022.9,18-11-2025,37.23,246,13
EME,NYSE:EME,DAILY,180d,755.15,745.73,1.26,1944.2,21-11-2025,564.01,243,2
NVR,NYSE:NVR,DAILY,180d,6349.28,6255.29,1.5,1930.4,15-05-2026,5501.01,68,0
BMI,NYSE:BMI,DAILY,180d,126.67,125.18,1.19,1796.1,20-04-2026,111.72,93,3
PCOR,NYSE:PCOR,DAILY,180d,41.65,41.2,1.1,1768.4,22-06-2026,38.34,30,1
BWXT,NYSE:BWXT,DAILY,365d,175.17,172.08,1.8,1624.6,07-04-2025,83.55,471,2
