Symbol,TV_Symbol,Timeframe,Anchor_Period,Current_Price,AVWAP,Distance_%,Turnover_Lakhs,Anchor_Date,Anchor_Low,Days_Since_Anchor,Max_Bars_Below
SGOV,NYSE:SGOV,DAILY,180d,100.63,99.39,1.24,18746.6,03-12-2025,98.04,261,0
WFC,NYSE:WFC,DAILY,180d,83.84,82.33,1.84,11143.7,15-05-2026,72.36,98,0
MCD,NYSE:MCD,DAILY,180d,270.95,267.65,1.23,10231.1,23-07-2026,260.96,29,3
VRT,NYSE:VRT,DAILY,180d,261.95,258.82,1.21,8402.8,17-12-2025,147.75,247,3
LMT,NYSE:LMT,DAILY,180d,563.57,553.29,1.86,6198.1,03-12-2025,433.91,261,64
MO,NYSE:MO,DAILY,180d,66.09,65.68,0.62,6168.0,07-01-2026,53.01,226,7
TEL,NYSE:TEL,DAILY,180d,203.52,202.83,0.34,6036.6,22-07-2026,189.53,30,2
DUK,NYSE:DUK,DAILY,365d,119.85,119.52,0.28,5806.4,14-05-2025,105.57,464,28
FN,NYSE:FN,DAILY,365d,436.67,432.18,1.04,5361.9,04-04-2025,148.55,504,1
WMB,NYSE:WMB,DAILY,180d,70.49,69.65,1.21,5347.9,17-12-2025,57.25,247,1
CVS,NYSE:CVS,DAILY,180d,93.02,92.01,1.1,5201.6,30-03-2026,68.48,144,0
NOC,NYSE:NOC,DAILY,180d,551.03,541.02,1.85,5106.4,21-07-2026,479.02,31,0
RCL,NYSE:RCL,DAILY,180d,292.0,287.59,1.53,4345.3,20-05-2026,230.9,93,2
HIG,NYSE:HIG,DAILY,180d,136.1,134.3,1.34,3802.4,01-06-2026,125.59,81,0
UPS,NYSE:UPS,DAILY,180d,102.01,100.71,1.29,3656.1,04-12-2025,90.22,260,27
KMI,NYSE:KMI,DAILY,180d,30.98,30.6,1.23,3632.8,16-12-2025,25.51,248,0
HAL,NYSE:HAL,DAILY,180d,35.34,34.84,1.43,3101.4,16-12-2025,26.55,248,22
DOW,NYSE:DOW,DAILY,180d,32.35,31.77,1.81,2970.9,16-12-2025,22.03,248,43
VICI,NYSE:VICI,DAILY,180d,26.51,26.24,1.02,2807.9,09-07-2026,25.82,43,3
OTIS,NYSE:OTIS,DAILY,180d,71.49,71.07,0.59,2769.1,01-06-2026,68.74,81,2
FIS,NYSE:FIS,DAILY,180d,41.34,41.09,0.6,2703.6,22-06-2026,37.42,60,3
ED,NYSE:ED,DAILY,180d,106.35,105.49,0.81,2457.4,08-12-2025,92.68,256,4
ROK,NYSE:ROK,DAILY,180d,437.08,436.31,0.18,2439.3,30-03-2026,345.4,144,3
JOBY,NYSE:JOBY,DAILY,180d,7.53,7.45,1.09,2275.4,17-07-2026,6.89,35,1
PPL,NYSE:PPL,DAILY,550d,34.38,34.03,1.02,2149.7,08-07-2024,25.57,774,0
SHV,NYSE:SHV,DAILY,180d,110.31,108.88,1.31,1979.8,03-12-2025,107.54,261,0
NVR,NYSE:NVR,DAILY,180d,6358.51,6245.32,1.81,1805.8,15-05-2026,5501.01,98,2
HDB,NYSE:HDB,DAILY,180d,23.6,23.32,1.22,1775.5,23-07-2026,22.66,29,3
PNR,NYSE:PNR,DAILY,180d,64.4,63.31,1.73,1573.5,15-07-2026,57.35,37,0
PNW,NYSE:PNW,DAILY,180d,97.36,97.04,0.33,1549.9,10-12-2025,83.83,254,1
BRK-A,NYSE:BRK-A,DAILY,180d,743500.0,731589.1,1.63,1487.0,22-04-2026,698000.0,121,3
EVR,NYSE:EVR,DAILY,365d,291.89,290.78,0.38,1410.7,07-04-2025,146.57,501,3
CPT,NYSE:CPT,DAILY,180d,107.59,106.29,1.22,1340.8,27-03-2026,94.62,147,0
AGX,NYSE:AGX,DAILY,180d,501.63,498.51,0.63,1312.8,05-12-2025,275.48,259,1
WHR,NYSE:WHR,DAILY,180d,40.35,39.7,1.63,1287.0,23-07-2026,35.45,29,2
NYT,NYSE:NYT,DAILY,365d,65.69,65.29,0.61,1218.3,09-04-2025,44.17,499,9
AGCO,NYSE:AGCO,DAILY,365d,106.81,106.55,0.24,1137.1,04-04-2025,72.63,504,12
GAP,NYSE:GAP,DAILY,180d,19.8,19.46,1.73,1122.3,30-06-2026,17.94,52,2
TOL,NYSE:TOL,DAILY,180d,147.09,145.46,1.12,1116.0,19-05-2026,122.93,94,2
BBWI,NYSE:BBWI,DAILY,180d,19.45,19.2,1.32,1079.9,20-05-2026,15.41,93,6
ALLY,NYSE:ALLY,DAILY,180d,42.93,42.12,1.92,1075.1,12-03-2026,35.43,162,1
